,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,PER_B,WINNER
34,140.0,120.5,0.56,0.458,0.7045,53.0,14.0,3.5,1.0,1.0,1530.7978090291265,2,26.795850288377636,107.0,103.66666666666667,0.434,0.303,0.8610000000000001,48.0,14.0,6.333333333333333,0.6666666666666666,0.0,1509.740943451932,2,12.930553925364837,A
35,113.25,106.5,0.493,0.35350000000000004,0.839,45.25,17.5,5.75,0.75,1.0,1524.1902109227822,1,16.880239476419096,116.66666666666667,118.0,0.4343333333333333,0.3356666666666667,0.7496666666666666,43.666666666666664,11.666666666666666,10.333333333333334,0.3333333333333333,1.0,1494.7000645260432,1,16.82046725573127,A
36,121.0,123.66666666666667,0.455,0.4696666666666667,0.749,46.333333333333336,9.0,3.6666666666666665,0.6666666666666666,1.0,1498.0622803405602,1,19.29844039828142,108.75,103.5,0.487,0.42325,0.6415,45.75,15.75,5.25,0.5,0.0,1509.9109790159375,-1,15.864836542211103,B
37,111.0,120.0,0.48500000000000004,0.41033333333333327,0.7416666666666667,38.0,14.0,4.333333333333333,0.0,0.0,1471.4298640166417,-3,14.77777060634626,112.75,110.0,0.44425000000000003,0.3925,0.74275,44.25,12.75,7.5,0.5,0.6666666666666666,1506.8339020878623,-1,15.970648708429893,A
38,105.0,114.0,0.45766666666666667,0.36866666666666664,0.7976666666666666,43.0,17.333333333333332,2.3333333333333335,0.3333333333333333,1.0,1479.9883217110557,-2,15.631154958558923,125.33333333333333,131.66666666666666,0.49266666666666664,0.2806666666666667,0.6873333333333335,47.333333333333336,13.666666666666666,7.333333333333333,0.0,0.0,1476.4763648160442,-3,18.11031795898634,B
39,112.66666666666667,126.66666666666667,0.44966666666666666,0.36199999999999993,0.7496666666666666,47.0,16.0,1.3333333333333333,0.0,0.0,1461.4084293571818,-3,10.45633962509935,106.33333333333333,113.33333333333333,0.486,0.33899999999999997,0.731,44.666666666666664,20.333333333333332,5.666666666666667,0.3333333333333333,0.0,1483.5839173992115,-1,13.64661353040916,B
40,110.0,111.0,0.4406666666666667,0.3813333333333333,0.7826666666666666,44.0,16.333333333333332,4.666666666666667,0.3333333333333333,1.0,1494.2470419168324,-2,14.120949859199293,116.0,120.33333333333333,0.455,0.381,0.7166666666666667,42.0,14.0,5.666666666666667,0.3333333333333333,0.0,1488.7620264360576,-1,12.504345140753587,A
41,111.25,110.25,0.4315,0.34325,0.79275,42.75,11.75,2.5,0.25,0.0,1495.1780514029929,-3,15.520030505108808,108.66666666666667,109.66666666666667,0.41500000000000004,0.3133333333333334,0.722,52.0,17.333333333333332,7.0,0.3333333333333333,0.0,1494.8019239808857,-1,14.981671795607301,B
42,115.5,115.25,0.46075,0.3415,0.7807499999999999,49.0,12.5,6.0,0.5,0.0,1501.257771780573,-1,20.11599547171502,118.33333333333333,108.66666666666667,0.47866666666666663,0.4023333333333334,0.6923333333333334,54.0,17.666666666666668,7.0,1.0,1.0,1530.0557584465655,3,18.024293688672394,B
43,118.33333333333333,122.0,0.45399999999999996,0.32066666666666666,0.7956666666666666,40.333333333333336,13.666666666666666,5.0,0.6666666666666666,0.0,1497.2609264169062,2,17.52925716603862,119.0,122.66666666666667,0.48,0.4043333333333334,0.735,43.0,18.333333333333332,5.0,0.3333333333333333,0.0,1489.1459765881207,1,19.939812317382433,B
44,102.0,104.0,0.4033333333333333,0.38866666666666666,0.7756666666666666,37.333333333333336,12.666666666666666,3.0,0.6666666666666666,0.5,1501.7641631193383,2,16.887787934868328,122.25,129.5,0.52725,0.41050000000000003,0.6495000000000001,40.25,14.5,4.5,0.25,0.0,1477.556148498873,-1,19.34490618051528,B
45,119.0,116.5,0.47075,0.36174999999999996,0.89975,41.5,14.25,6.0,0.5,0.0,1507.1621422287715,1,17.885801111335798,118.25,106.0,0.4935,0.38125,0.75,47.5,13.75,5.75,1.0,1.0,1545.7190764190302,4,20.608937177851328,B
46,113.0,99.75,0.45175,0.30225,0.7629999999999999,51.5,12.75,5.5,1.0,1.0,1546.3185916810692,4,17.60519854718258,126.75,127.0,0.4995,0.29974999999999996,0.70025,46.25,12.25,6.75,0.25,0.0,1491.9041586885237,1,21.513055952542764,B
47,100.0,106.75,0.41575,0.328,0.7,48.25,13.75,5.75,0.5,0.5,1484.3265420612022,1,13.029178336973855,124.33333333333333,117.33333333333333,0.458,0.3673333333333333,0.8813333333333334,56.666666666666664,16.333333333333332,5.666666666666667,0.6666666666666666,0.0,1517.309628330818,-1,19.366472417157762,B
48,106.0,120.5,0.43274999999999997,0.31325,0.7967499999999998,48.5,15.75,1.5,0.0,0.0,1448.4753710261743,-4,9.316486332465297,118.0,116.0,0.434,0.3546666666666667,0.7836666666666666,47.0,11.666666666666666,4.333333333333333,1.0,1.0,1514.0043556248188,3,16.525488145027293,B
49,104.0,115.66666666666667,0.38766666666666666,0.23766666666666666,0.6736666666666666,49.333333333333336,15.333333333333334,6.333333333333333,0.0,0.0,1465.8350633994817,-3,15.706430449950762,99.75,98.5,0.4115,0.31775,0.76,50.5,14.5,4.0,0.5,0.5,1502.1717249932847,-1,14.425556594911288,B
50,106.4,110.2,0.4178,0.34740000000000004,0.7628,43.2,11.8,2.6,0.2,0.5,1477.0847415992882,-4,17.97881958944279,119.4,109.6,0.5096,0.3738,0.8552,45.8,17.6,5.6,0.8,0.5,1539.8482928264218,2,18.304001745191897,B
51,109.25,115.25,0.44175,0.35450000000000004,0.68025,40.25,14.75,5.5,0.25,0.0,1477.9718323398179,-2,13.004173395348715,107.5,106.75,0.44325000000000003,0.28975,0.8495,47.75,14.75,5.75,0.5,0.0,1501.9683570239947,-1,12.316817811912298,B
52,117.2,122.0,0.5062,0.395,0.6468,43.6,15.0,4.6,0.4,0.5,1485.231718368107,1,19.616954416656714,118.0,124.5,0.43875,0.32325000000000004,0.7945,41.25,11.75,8.0,0.25,0.5,1479.0419826224036,-1,16.447713976204234,A
53,119.5,108.5,0.46149999999999997,0.37725000000000003,0.7525,53.25,16.0,7.75,1.0,1.0,1542.1277011395612,4,15.744602350990025,116.2,115.6,0.45999999999999996,0.38939999999999997,0.8448,42.0,14.6,5.8,0.4,1.0,1499.9030863883258,-1,17.688238194147605,A
54,111.25,117.5,0.484,0.39399999999999996,0.7562500000000001,39.75,14.0,4.5,0.25,0.0,1476.9075488663113,1,17.261983650933495,112.2,110.4,0.4424,0.37120000000000003,0.7736000000000001,42.6,11.8,7.0,0.4,0.0,1501.3562172381926,-2,16.87876885751368,B
55,117.0,105.8,0.49820000000000003,0.37379999999999997,0.75,46.8,14.4,6.2,1.0,1.0,1552.9781322594758,5,21.709493967943654,114.75,119.25,0.44499999999999995,0.3155,0.7505,43.25,14.5,6.0,0.5,0.0,1488.5954471589498,-1,14.825697866937352,A
56,105.25,106.5,0.47375,0.35724999999999996,0.7482500000000001,44.5,18.75,4.5,0.5,0.3333333333333333,1496.516975730219,1,14.440740384724167,132.0,116.66666666666667,0.5166666666666667,0.38866666666666666,0.7196666666666666,51.333333333333336,12.0,5.0,1.0,1.0,1538.5703954570638,3,23.225996276560217,B
57,116.0,109.66666666666667,0.46366666666666667,0.38233333333333336,0.801,43.833333333333336,11.833333333333334,7.5,0.5,0.5,1520.8103183441888,1,20.34588593608151,114.0,116.8,0.45119999999999993,0.338,0.7646,49.2,13.2,5.8,0.4,1.0,1489.1858290875773,-2,18.65465008799898,B
58,114.75,121.75,0.44175,0.43125,0.79975,46.25,10.0,3.5,0.5,0.5,1482.3889834578304,-1,15.74705684296905,125.6,124.4,0.49960000000000004,0.30879999999999996,0.7254,45.4,12.6,6.0,0.4,0.5,1502.0662094300408,2,21.332403763031106,A
59,110.2,102.0,0.49539999999999995,0.44480000000000003,0.6881999999999999,44.6,14.6,5.2,0.6,0.3333333333333333,1525.5842758986673,1,17.560154586764735,105.4,118.4,0.43839999999999996,0.3172,0.8107999999999999,44.8,14.4,1.4,0.0,0.0,1441.9717095784263,-5,15.924620840057841,A
60,125.25,116.5,0.48150000000000004,0.37725,0.863,53.5,15.0,5.75,0.75,1.0,1528.654616351562,1,20.595397610263916,109.0,104.0,0.43025,0.34700000000000003,0.7112499999999999,51.75,16.25,6.5,0.5,0.5,1512.8952337845903,1,13.942032012457924,B
61,100.0,97.8,0.40599999999999997,0.32299999999999995,0.7534,49.4,14.0,3.4,0.6,0.6666666666666666,1508.9029858976314,1,13.237189133426229,116.0,112.75,0.457,0.36425,0.73425,47.25,13.75,4.5,1.0,1.0,1520.5080170725669,4,16.18816506498343,A
62,102.8,111.0,0.43260000000000004,0.34240000000000004,0.72,46.6,13.8,6.0,0.4,0.5,1472.9815540404581,-1,14.183768436312691,120.6,105.8,0.4758,0.3844,0.7474,55.0,16.4,7.8,1.0,1.0,1560.7203687939455,5,16.46120310059301,B
63,117.0,118.0,0.46175,0.402,0.72875,45.75,17.5,5.25,0.5,1.0,1497.811455846077,2,15.412773353649387,110.2,121.0,0.4742,0.404,0.7504000000000001,38.6,14.0,5.0,0.2,0.0,1457.4534477603152,-1,16.156256840056944,B
64,99.5,102.25,0.39825,0.359,0.774,40.25,13.25,3.75,0.5,1.0,1494.0885932501042,-1,10.595208851375965,107.0,118.25,0.47425,0.35724999999999996,0.7767499999999999,43.25,18.0,2.75,0.25,0.0,1464.5605278385763,-3,12.205333593250728,A
65,128.25,116.25,0.49975,0.38925,0.732,50.0,11.75,6.5,1.0,1.0,1542.681929770384,4,19.50107548190657,107.5,105.5,0.4395,0.37224999999999997,0.7835,44.75,17.0,4.75,0.5,1.0,1505.037236013072,1,13.915239204851654,B
66,120.83333333333333,108.0,0.5223333333333333,0.39233333333333337,0.8515,44.666666666666664,17.0,5.666666666666667,0.8333333333333334,0.6666666666666666,1556.1131047605616,3,17.50604721743557,107.2,108.6,0.4668,0.38079999999999997,0.732,46.4,19.2,5.2,0.4,1.0,1492.4054414168988,-1,14.883641221554498,A
67,112.6,108.0,0.46340000000000003,0.3362,0.8638,47.0,15.0,5.4,0.6,0.6666666666666666,1516.9318187998454,1,14.871916363829385,116.8,122.8,0.44399999999999995,0.32520000000000004,0.7922,41.4,13.6,7.8,0.2,0.3333333333333333,1472.860881419096,-2,14.688867033183417,A
68,113.2,118.6,0.43859999999999993,0.3324,0.7587999999999999,43.4,14.6,6.0,0.4,1.0,1481.0344478633108,-2,16.636589651676967,112.4,106.6,0.45620000000000005,0.36039999999999994,0.7889999999999999,44.4,16.2,5.2,0.6,1.0,1524.3969710920921,2,15.658190659945273,B
69,101.75,112.0,0.38925,0.24075,0.64525,51.25,15.5,6.25,0.0,0.0,1459.103802495135,-4,12.309078786466761,104.8,118.0,0.4718,0.3404,0.7792,41.6,18.2,2.4,0.2,0.0,1449.4077846987725,-4,12.798589982075084,A
70,112.5,114.5,0.44016666666666665,0.3411666666666667,0.7759999999999999,50.333333333333336,12.833333333333334,6.166666666666667,0.5,1.0,1494.5930933256586,1,16.144742641880946,110.6,113.8,0.43360000000000004,0.38160000000000005,0.7482,46.2,18.4,5.8,0.4,0.3333333333333333,1484.3965078222416,-1,18.04808795873121,A
71,111.66666666666667,117.66666666666667,0.43516666666666665,0.33049999999999996,0.7589999999999999,43.333333333333336,14.333333333333334,5.5,0.3333333333333333,0.0,1472.7950288703023,-3,16.100736206527845,113.8,118.6,0.4502,0.3826,0.7981999999999999,46.8,10.6,3.8,0.6,0.6666666666666666,1489.17802557942,1,15.204969262579548,B
72,108.0,115.0,0.4675,0.3973333333333333,0.7608333333333334,40.833333333333336,15.5,5.166666666666667,0.3333333333333333,0.5,1470.8683957841506,1,15.758001466876408,120.71428571428571,108.85714285714286,0.5182857142857143,0.3838571428571429,0.8548571428571429,45.0,16.285714285714285,5.857142857142857,0.8571428571428571,0.75,1562.1366043151434,4,17.964727677640088,B
73,108.33333333333333,110.5,0.46950000000000003,0.39666666666666667,0.7211666666666666,44.833333333333336,18.5,4.833333333333333,0.3333333333333333,0.25,1486.381941862317,-2,15.033689206687567,105.33333333333333,113.16666666666667,0.4203333333333333,0.34500000000000003,0.7606666666666667,42.666666666666664,13.166666666666666,2.3333333333333335,0.16666666666666666,0.3333333333333333,1460.8199296651485,-5,16.36607270549111,B
74,117.0,120.33333333333333,0.49900000000000005,0.3921666666666667,0.6405000000000001,45.166666666666664,15.666666666666666,4.5,0.5,0.3333333333333333,1491.4128195714147,2,19.153139476331226,111.2,105.4,0.4358000000000001,0.3546,0.6998,52.6,15.6,6.8,0.6,0.6666666666666666,1523.200198835619,2,17.55839900028887,A
75,116.83333333333333,106.0,0.49583333333333335,0.3793333333333333,0.7666666666666666,47.333333333333336,14.166666666666666,6.0,1.0,1.0,1560.5391315551149,6,16.09886681818692,119.33333333333333,103.33333333333333,0.47983333333333333,0.3758333333333334,0.7749999999999999,55.333333333333336,17.166666666666668,7.666666666666667,1.0,1.0,1573.035883649507,6,16.093295006714403,B
76,111.66666666666667,102.83333333333333,0.521,0.43483333333333335,0.6888333333333333,41.166666666666664,14.666666666666666,4.833333333333333,0.6666666666666666,1.0,1533.9157095026937,2,18.779958458948187,122.4,117.2,0.4692,0.37459999999999993,0.869,51.2,13.8,6.2,0.6,0.5,1518.3496513005334,-1,16.865383316903085,B
77,113.2,104.0,0.4614,0.29400000000000004,0.7703999999999999,50.0,14.0,5.4,0.8,1.0,1536.156540939552,-1,18.542366917622346,124.8,119.4,0.484,0.3644,0.7373999999999999,48.0,12.6,6.2,0.8,1.0,1523.3221946913638,-1,14.937938112299786,A
78,122.33333333333333,122.0,0.49583333333333335,0.32299999999999995,0.7063333333333334,44.833333333333336,13.333333333333334,5.833333333333333,0.3333333333333333,0.3333333333333333,1495.2771673084512,-1,21.69800105031871,112.66666666666667,117.16666666666667,0.43683333333333335,0.3633333333333333,0.8243333333333333,43.166666666666664,13.5,5.833333333333333,0.3333333333333333,0.6666666666666666,1481.3104187339416,-2,17.30481279610838,B
79,101.5,96.33333333333333,0.4138333333333333,0.33783333333333326,0.7411666666666666,50.166666666666664,13.833333333333334,4.166666666666667,0.6666666666666666,0.5,1525.9888089454355,2,14.309379564365138,110.6,112.0,0.43979999999999997,0.32920000000000005,0.7474000000000001,47.2,13.2,4.2,0.8,1.0,1503.4221940247628,-1,15.792385131766755,A
80,107.5,113.66666666666667,0.42333333333333334,0.35400000000000004,0.7346666666666667,46.333333333333336,17.833333333333332,5.333333333333333,0.3333333333333333,0.25,1468.0792675844414,-2,15.426374422458638,105.66666666666667,118.5,0.44283333333333325,0.311,0.8271666666666665,43.833333333333336,15.0,1.5,0.0,0.0,1433.6402759743999,-6,16.46160897183397,B
81,117.85714285714286,119.28571428571429,0.4984285714285715,0.4021428571428572,0.6347142857142858,45.285714285714285,15.428571428571429,5.0,0.5714285714285714,0.5,1503.0326401111918,3,19.023924594166647,100.83333333333333,111.33333333333333,0.41500000000000004,0.3241666666666667,0.7469999999999999,45.666666666666664,13.333333333333334,6.0,0.3333333333333333,0.3333333333333333,1460.6660391848966,-2,13.789662977070778,A
82,110.0,118.8,0.43099999999999994,0.35680000000000006,0.7202,40.6,14.4,5.8,0.2,0.0,1463.0083705639672,-3,13.713530356239305,119.16666666666667,113.16666666666667,0.4721666666666667,0.37633333333333335,0.8815,51.0,14.5,5.666666666666667,0.6666666666666666,0.6666666666666666,1529.3285156561167,1,17.887197969677626,B
83,114.14285714285714,109.0,0.453,0.36442857142857144,0.8055714285714286,44.42857142857143,11.428571428571429,7.571428571428571,0.42857142857142855,0.5,1515.4030541061074,-1,18.21302843661599,111.5,108.33333333333333,0.432,0.35100000000000003,0.7008333333333333,52.5,16.0,7.166666666666667,0.5,0.5,1511.580378295842,-1,16.772933818167832,A
84,115.71428571428571,108.57142857142857,0.47914285714285715,0.3537142857142857,0.7694285714285714,47.857142857142854,13.571428571428571,6.142857142857143,0.8571428571428571,1.0,1547.6881981398808,-1,21.005446281277763,112.57142857142857,111.28571428571429,0.43642857142857144,0.335,0.7999999999999999,52.285714285714285,13.714285714285714,6.571428571428571,0.5714285714285714,0.0,1510.9103335634588,2,17.151528259428392,A
85,103.0,101.0,0.43,0.3564,0.8009999999999999,40.0,13.0,3.2,0.6,1.0,1509.241336389908,1,13.20886403096412,114.66666666666667,125.0,0.4353333333333333,0.30183333333333334,0.797,42.0,13.666666666666666,7.0,0.16666666666666666,0.25,1453.5157421583576,-3,15.160285890223323,A
