,PTS_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,PTS_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_A,BLK_B,WINNER
57,140.0,0.56,0.458,0.7045,53.0,14.0,3.5,123.0,0.484,0.44699999999999995,0.7825,41.0,17.0,4.0,B
58,113.25,0.493,0.35350000000000004,0.839,45.25,17.5,5.75,106.33333333333333,0.486,0.33899999999999997,0.731,44.666666666666664,20.333333333333332,5.666666666666667,A
59,107.0,0.434,0.303,0.8610000000000001,48.0,14.0,6.333333333333333,112.5,0.4425,0.30100000000000005,0.7785,38.5,12.5,12.0,A
60,120.0,0.46599999999999997,0.3215,0.7175,40.0,12.5,6.5,123.0,0.484,0.44699999999999995,0.7825,41.0,17.0,4.0,B
61,104.0,0.38766666666666666,0.23766666666666666,0.6736666666666666,49.333333333333336,15.333333333333334,6.333333333333333,105.0,0.45766666666666667,0.36866666666666664,0.7976666666666666,43.0,17.333333333333332,2.3333333333333335,A
62,110.0,0.44766666666666666,0.3466666666666667,0.8029999999999999,49.333333333333336,13.0,5.333333333333333,119.0,0.48,0.4043333333333334,0.735,43.0,18.333333333333332,5.0,A
63,120.0,0.46599999999999997,0.3215,0.7175,40.0,12.5,6.5,121.0,0.455,0.4696666666666667,0.749,46.333333333333336,9.0,3.6666666666666665,B
64,112.0,0.471,0.333,0.779,40.0,11.5,4.5,113.25,0.493,0.35350000000000004,0.839,45.25,17.5,5.75,B
65,106.33333333333333,0.486,0.33899999999999997,0.731,44.666666666666664,20.333333333333332,5.666666666666667,110.66666666666667,0.42366666666666664,0.3426666666666667,0.7679999999999999,42.666666666666664,11.666666666666666,2.6666666666666665,B
66,125.66666666666667,0.5286666666666666,0.4076666666666667,0.7160000000000001,40.666666666666664,14.0,4.0,108.66666666666667,0.41500000000000004,0.3133333333333334,0.722,52.0,17.333333333333332,7.0,A
67,115.33333333333333,0.4663333333333333,0.37999999999999995,0.7143333333333333,48.0,13.333333333333334,5.0,118.33333333333333,0.47866666666666663,0.4023333333333334,0.6923333333333334,54.0,17.666666666666668,7.0,B
68,114.66666666666667,0.519,0.46166666666666667,0.626,46.0,16.0,5.0,124.33333333333333,0.458,0.3673333333333333,0.8813333333333334,56.666666666666664,16.333333333333332,5.666666666666667,B
69,108.66666666666667,0.4306666666666667,0.2806666666666667,0.7283333333333332,52.333333333333336,13.0,6.333333333333333,140.0,0.56,0.458,0.7045,53.0,14.0,3.5,A
70,125.33333333333333,0.49266666666666664,0.2806666666666667,0.6873333333333335,47.333333333333336,13.666666666666666,7.333333333333333,119.0,0.47075,0.36174999999999996,0.89975,41.5,14.25,6.0,B
71,99.75,0.4115,0.31775,0.76,50.5,14.5,4.0,110.5,0.41500000000000004,0.35,0.8235,47.5,13.5,4.5,A
72,119.0,0.48,0.4043333333333334,0.735,43.0,18.333333333333332,5.0,112.66666666666667,0.44966666666666666,0.36199999999999993,0.7496666666666666,47.0,16.0,1.3333333333333333,B
73,125.66666666666667,0.5286666666666666,0.4076666666666667,0.7160000000000001,40.666666666666664,14.0,4.0,100.0,0.41575,0.328,0.7,48.25,13.75,5.75,A
74,116.0,0.455,0.381,0.7166666666666667,42.0,14.0,5.666666666666667,124.33333333333333,0.458,0.3673333333333333,0.8813333333333334,56.666666666666664,16.333333333333332,5.666666666666667,B
75,112.75,0.44425000000000003,0.3925,0.74275,44.25,12.75,7.5,108.66666666666667,0.41500000000000004,0.3133333333333334,0.722,52.0,17.333333333333332,7.0,A
76,118.25,0.4935,0.38125,0.75,47.5,13.75,5.75,115.5,0.46075,0.3415,0.7807499999999999,49.0,12.5,6.0,A
77,102.0,0.4033333333333333,0.38866666666666666,0.7756666666666666,37.333333333333336,12.666666666666666,3.0,116.66666666666667,0.4343333333333333,0.3356666666666667,0.7496666666666666,43.666666666666664,11.666666666666666,10.333333333333334,A
78,107.5,0.44325000000000003,0.28975,0.8495,47.75,14.75,5.75,104.0,0.38766666666666666,0.23766666666666666,0.6736666666666666,49.333333333333336,15.333333333333334,6.333333333333333,B
79,119.4,0.5096,0.3738,0.8552,45.8,17.6,5.6,132.0,0.5166666666666667,0.38866666666666666,0.7196666666666666,51.333333333333336,12.0,5.0,A
80,118.33333333333333,0.45399999999999996,0.32066666666666666,0.7956666666666666,40.333333333333336,13.666666666666666,5.0,125.33333333333333,0.49266666666666664,0.2806666666666667,0.6873333333333335,47.333333333333336,13.666666666666666,7.333333333333333,B
81,113.0,0.45175,0.30225,0.7629999999999999,51.5,12.75,5.5,111.0,0.48500000000000004,0.41033333333333327,0.7416666666666667,38.0,14.0,4.333333333333333,A
82,110.2,0.49539999999999995,0.44480000000000003,0.6881999999999999,44.6,14.6,5.2,111.25,0.4315,0.34325,0.79275,42.75,11.75,2.5,A
83,105.0,0.45766666666666667,0.36866666666666664,0.7976666666666666,43.0,17.333333333333332,2.3333333333333335,114.75,0.44175,0.43125,0.79975,46.25,10.0,3.5,B
84,118.0,0.434,0.3546666666666667,0.7836666666666666,47.0,11.666666666666666,4.333333333333333,106.33333333333333,0.486,0.33899999999999997,0.731,44.666666666666664,20.333333333333332,5.666666666666667,B
85,110.0,0.4406666666666667,0.3813333333333333,0.7826666666666666,44.0,16.333333333333332,4.666666666666667,119.0,0.47075,0.36174999999999996,0.89975,41.5,14.25,6.0,B
86,115.5,0.46075,0.3415,0.7807499999999999,49.0,12.5,6.0,107.5,0.44325000000000003,0.28975,0.8495,47.75,14.75,5.75,A
87,99.75,0.4115,0.31775,0.76,50.5,14.5,4.0,118.33333333333333,0.47866666666666663,0.4023333333333334,0.6923333333333334,54.0,17.666666666666668,7.0,A
88,106.0,0.43274999999999997,0.31325,0.7967499999999998,48.5,15.75,1.5,113.0,0.45175,0.30225,0.7629999999999999,51.5,12.75,5.5,B
89,132.0,0.5166666666666667,0.38866666666666666,0.7196666666666666,51.333333333333336,12.0,5.0,124.33333333333333,0.458,0.3673333333333333,0.8813333333333334,56.666666666666664,16.333333333333332,5.666666666666667,B
90,122.25,0.52725,0.41050000000000003,0.6495000000000001,40.25,14.5,4.5,119.0,0.48,0.4043333333333334,0.735,43.0,18.333333333333332,5.0,A
91,104.0,0.38766666666666666,0.23766666666666666,0.6736666666666666,49.333333333333336,15.333333333333334,6.333333333333333,112.2,0.4424,0.37120000000000003,0.7736000000000001,42.6,11.8,7.0,A
92,119.0,0.47075,0.36174999999999996,0.89975,41.5,14.25,6.0,119.4,0.5096,0.3738,0.8552,45.8,17.6,5.6,B
93,110.2,0.49539999999999995,0.44480000000000003,0.6881999999999999,44.6,14.6,5.2,111.25,0.484,0.39399999999999996,0.7562500000000001,39.75,14.0,4.5,A
94,107.0,0.47425,0.35724999999999996,0.7767499999999999,43.25,18.0,2.75,118.25,0.4935,0.38125,0.75,47.5,13.75,5.75,B
95,109.25,0.44175,0.35450000000000004,0.68025,40.25,14.75,5.5,105.25,0.47375,0.35724999999999996,0.7482500000000001,44.5,18.75,4.5,A
96,107.5,0.44325000000000003,0.28975,0.8495,47.75,14.75,5.75,100.0,0.41575,0.328,0.7,48.25,13.75,5.75,A
97,107.5,0.4395,0.37224999999999997,0.7835,44.75,17.0,4.75,99.5,0.39825,0.359,0.774,40.25,13.25,3.75,B
98,114.75,0.44499999999999995,0.3155,0.7505,43.25,14.5,6.0,106.4,0.4178,0.34740000000000004,0.7628,43.2,11.8,2.6,B
99,104.0,0.38766666666666666,0.23766666666666666,0.6736666666666666,49.333333333333336,15.333333333333334,6.333333333333333,118.0,0.43875,0.32325000000000004,0.7945,41.25,11.75,8.0,A
100,114.0,0.45119999999999993,0.338,0.7646,49.2,13.2,5.8,118.0,0.434,0.3546666666666667,0.7836666666666666,47.0,11.666666666666666,4.333333333333333,A
101,132.0,0.5166666666666667,0.38866666666666666,0.7196666666666666,51.333333333333336,12.0,5.0,114.75,0.44175,0.43125,0.79975,46.25,10.0,3.5,B
102,109.25,0.44175,0.35450000000000004,0.68025,40.25,14.75,5.5,111.25,0.484,0.39399999999999996,0.7562500000000001,39.75,14.0,4.5,A
103,124.33333333333333,0.458,0.3673333333333333,0.8813333333333334,56.666666666666664,16.333333333333332,5.666666666666667,125.6,0.49960000000000004,0.30879999999999996,0.7254,45.4,12.6,6.0,B
104,99.75,0.4115,0.31775,0.76,50.5,14.5,4.0,110.2,0.49539999999999995,0.44480000000000003,0.6881999999999999,44.6,14.6,5.2,B
105,117.0,0.46175,0.402,0.72875,45.75,17.5,5.25,109.0,0.43025,0.34700000000000003,0.7112499999999999,51.75,16.25,6.5,A
106,107.5,0.4395,0.37224999999999997,0.7835,44.75,17.0,4.75,113.2,0.4614,0.29400000000000004,0.7703999999999999,50.0,14.0,5.4,B
107,105.4,0.43839999999999996,0.3172,0.8107999999999999,44.8,14.4,1.4,112.2,0.4424,0.37120000000000003,0.7736000000000001,42.6,11.8,7.0,B
108,102.8,0.43260000000000004,0.34240000000000004,0.72,46.6,13.8,6.0,114.75,0.44175,0.43125,0.79975,46.25,10.0,3.5,A
109,117.0,0.49820000000000003,0.37379999999999997,0.75,46.8,14.4,6.2,125.6,0.49960000000000004,0.30879999999999996,0.7254,45.4,12.6,6.0,A
110,99.5,0.39825,0.359,0.774,40.25,13.25,3.75,107.0,0.47425,0.35724999999999996,0.7767499999999999,43.25,18.0,2.75,B
111,114.0,0.45119999999999993,0.338,0.7646,49.2,13.2,5.8,105.25,0.47375,0.35724999999999996,0.7482500000000001,44.5,18.75,4.5,B
112,125.25,0.48150000000000004,0.37725,0.863,53.5,15.0,5.75,116.2,0.45999999999999996,0.38939999999999997,0.8448,42.0,14.6,5.8,A
113,119.5,0.46149999999999997,0.37725000000000003,0.7525,53.25,16.0,7.75,117.0,0.49900000000000005,0.3921666666666667,0.6405000000000001,45.166666666666664,15.666666666666666,4.5,A
114,116.8,0.44399999999999995,0.32520000000000004,0.7922,41.4,13.6,7.8,105.33333333333333,0.4203333333333333,0.34500000000000003,0.7606666666666667,42.666666666666664,13.166666666666666,2.3333333333333335,A
115,99.5,0.39825,0.359,0.774,40.25,13.25,3.75,120.83333333333333,0.5223333333333333,0.39233333333333337,0.8515,44.666666666666664,17.0,5.666666666666667,B
116,105.33333333333333,0.4203333333333333,0.34500000000000003,0.7606666666666667,42.666666666666664,13.166666666666666,2.3333333333333335,111.25,0.484,0.39399999999999996,0.7562500000000001,39.75,14.0,4.5,B
117,112.6,0.46340000000000003,0.3362,0.8638,47.0,15.0,5.4,112.66666666666667,0.43683333333333335,0.3633333333333333,0.8243333333333333,43.166666666666664,13.5,5.833333333333333,A
118,102.8,0.43260000000000004,0.34240000000000004,0.72,46.6,13.8,6.0,105.4,0.43839999999999996,0.3172,0.8107999999999999,44.8,14.4,1.4,A
119,109.0,0.43025,0.34700000000000003,0.7112499999999999,51.75,16.25,6.5,116.0,0.457,0.36425,0.73425,47.25,13.75,4.5,A
120,116.83333333333333,0.49583333333333335,0.3793333333333333,0.7666666666666666,47.333333333333336,14.166666666666666,6.0,107.5,0.4395,0.37224999999999997,0.7835,44.75,17.0,4.75,A
121,110.0,0.43099999999999994,0.35680000000000006,0.7202,40.6,14.4,5.8,110.2,0.49539999999999995,0.44480000000000003,0.6881999999999999,44.6,14.6,5.2,A
122,113.2,0.4614,0.29400000000000004,0.7703999999999999,50.0,14.0,5.4,100.0,0.40599999999999997,0.32299999999999995,0.7534,49.4,14.0,3.4,A
123,101.75,0.38925,0.24075,0.64525,51.25,15.5,6.25,128.25,0.49975,0.38925,0.732,50.0,11.75,6.5,A
124,107.2,0.4668,0.38079999999999997,0.732,46.4,19.2,5.2,107.0,0.47425,0.35724999999999996,0.7767499999999999,43.25,18.0,2.75,A
125,120.6,0.4758,0.3844,0.7474,55.0,16.4,7.8,125.25,0.48150000000000004,0.37725,0.863,53.5,15.0,5.75,B
126,116.8,0.44399999999999995,0.32520000000000004,0.7922,41.4,13.6,7.8,113.2,0.43859999999999993,0.3324,0.7587999999999999,43.4,14.6,6.0,B
127,117.0,0.46175,0.402,0.72875,45.75,17.5,5.25,114.14285714285714,0.453,0.36442857142857144,0.8055714285714286,44.42857142857143,11.428571428571429,7.571428571428571,B
128,122.33333333333333,0.49583333333333335,0.32299999999999995,0.7063333333333334,44.833333333333336,13.333333333333334,5.833333333333333,112.66666666666667,0.43683333333333335,0.3633333333333333,0.8243333333333333,43.166666666666664,13.5,5.833333333333333,A
129,102.8,0.43260000000000004,0.34240000000000004,0.72,46.6,13.8,6.0,116.0,0.457,0.36425,0.73425,47.25,13.75,4.5,B
130,105.66666666666667,0.44283333333333325,0.311,0.8271666666666665,43.833333333333336,15.0,1.5,101.75,0.38925,0.24075,0.64525,51.25,15.5,6.25,B
131,111.2,0.4358000000000001,0.3546,0.6998,52.6,15.6,6.8,113.8,0.4502,0.3826,0.7981999999999999,46.8,10.6,3.8,A
132,107.5,0.4395,0.37224999999999997,0.7835,44.75,17.0,4.75,113.2,0.43859999999999993,0.3324,0.7587999999999999,43.4,14.6,6.0,A
133,111.66666666666667,0.521,0.43483333333333335,0.6888333333333333,41.166666666666664,14.666666666666666,4.833333333333333,112.5,0.44016666666666665,0.3411666666666667,0.7759999999999999,50.333333333333336,12.833333333333334,6.166666666666667,B
134,117.0,0.46175,0.402,0.72875,45.75,17.5,5.25,105.33333333333333,0.4203333333333333,0.34500000000000003,0.7606666666666667,42.666666666666664,13.166666666666666,2.3333333333333335,B
135,117.0,0.49900000000000005,0.3921666666666667,0.6405000000000001,45.166666666666664,15.666666666666666,4.5,116.83333333333333,0.49583333333333335,0.3793333333333333,0.7666666666666666,47.333333333333336,14.166666666666666,6.0,B
136,99.5,0.39825,0.359,0.774,40.25,13.25,3.75,113.2,0.4614,0.29400000000000004,0.7703999999999999,50.0,14.0,5.4,A
137,128.25,0.49975,0.38925,0.732,50.0,11.75,6.5,108.0,0.4675,0.3973333333333333,0.7608333333333334,40.833333333333336,15.5,5.166666666666667,A
138,119.33333333333333,0.47983333333333333,0.3758333333333334,0.7749999999999999,55.333333333333336,17.166666666666668,7.666666666666667,120.83333333333333,0.5223333333333333,0.39233333333333337,0.8515,44.666666666666664,17.0,5.666666666666667,A
139,101.5,0.4138333333333333,0.33783333333333326,0.7411666666666666,50.166666666666664,13.833333333333334,4.166666666666667,104.8,0.4718,0.3404,0.7792,41.6,18.2,2.4,A
140,112.6,0.46340000000000003,0.3362,0.8638,47.0,15.0,5.4,122.4,0.4692,0.37459999999999993,0.869,51.2,13.8,6.2,B
141,101.75,0.38925,0.24075,0.64525,51.25,15.5,6.25,110.0,0.43099999999999994,0.35680000000000006,0.7202,40.6,14.4,5.8,A
142,114.14285714285714,0.453,0.36442857142857144,0.8055714285714286,44.42857142857143,11.428571428571429,7.571428571428571,112.5,0.44016666666666665,0.3411666666666667,0.7759999999999999,50.333333333333336,12.833333333333334,6.166666666666667,B
143,116.8,0.44399999999999995,0.32520000000000004,0.7922,41.4,13.6,7.8,100.83333333333333,0.41500000000000004,0.3241666666666667,0.7469999999999999,45.666666666666664,13.333333333333334,6.0,B
144,111.2,0.4358000000000001,0.3546,0.6998,52.6,15.6,6.8,111.66666666666667,0.521,0.43483333333333335,0.6888333333333333,41.166666666666664,14.666666666666666,4.833333333333333,B
145,112.4,0.45620000000000005,0.36039999999999994,0.7889999999999999,44.4,16.2,5.2,101.5,0.4138333333333333,0.33783333333333326,0.7411666666666666,50.166666666666664,13.833333333333334,4.166666666666667,A
146,110.6,0.43979999999999997,0.32920000000000005,0.7474000000000001,47.2,13.2,4.2,110.6,0.43360000000000004,0.38160000000000005,0.7482,46.2,18.4,5.8,A
147,117.0,0.49900000000000005,0.3921666666666667,0.6405000000000001,45.166666666666664,15.666666666666666,4.5,112.66666666666667,0.43683333333333335,0.3633333333333333,0.8243333333333333,43.166666666666664,13.5,5.833333333333333,A
148,113.2,0.4614,0.29400000000000004,0.7703999999999999,50.0,14.0,5.4,108.33333333333333,0.46950000000000003,0.39666666666666667,0.7211666666666666,44.833333333333336,18.5,4.833333333333333,B
149,120.71428571428571,0.5182857142857143,0.3838571428571429,0.8548571428571429,45.0,16.285714285714285,5.857142857142857,108.33333333333333,0.46950000000000003,0.39666666666666667,0.7211666666666666,44.833333333333336,18.5,4.833333333333333,A
150,113.8,0.4502,0.3826,0.7981999999999999,46.8,10.6,3.8,110.0,0.43099999999999994,0.35680000000000006,0.7202,40.6,14.4,5.8,A
151,108.0,0.4675,0.3973333333333333,0.7608333333333334,40.833333333333336,15.5,5.166666666666667,105.66666666666667,0.44283333333333325,0.311,0.8271666666666665,43.833333333333336,15.0,1.5,A
152,116.5,0.4768333333333334,0.3721666666666667,0.8223333333333334,48.666666666666664,15.0,6.0,119.33333333333333,0.47983333333333333,0.3758333333333334,0.7749999999999999,55.333333333333336,17.166666666666668,7.666666666666667,A
153,111.2,0.4358000000000001,0.3546,0.6998,52.6,15.6,6.8,114.66666666666667,0.4353333333333333,0.30183333333333334,0.797,42.0,13.666666666666666,7.0,B
154,104.8,0.41259999999999997,0.251,0.6534,49.6,15.4,5.6,111.14285714285714,0.4405714285714285,0.32528571428571423,0.7514285714285714,44.142857142857146,15.571428571428571,5.142857142857143,B
155,117.0,0.49900000000000005,0.3921666666666667,0.6405000000000001,45.166666666666664,15.666666666666666,4.5,122.33333333333333,0.49583333333333335,0.32299999999999995,0.7063333333333334,44.833333333333336,13.333333333333334,5.833333333333333,B
156,106.71428571428571,0.4301428571428571,0.3492857142857143,0.779,44.142857142857146,13.571428571428571,2.4285714285714284,116.83333333333333,0.49583333333333335,0.3793333333333333,0.7666666666666666,47.333333333333336,14.166666666666666,6.0,B
157,103.0,0.43,0.3564,0.8009999999999999,40.0,13.0,3.2,112.57142857142857,0.43642857142857144,0.335,0.7999999999999999,52.285714285714285,13.714285714285714,6.571428571428571,A
158,124.8,0.484,0.3644,0.7373999999999999,48.0,12.6,6.2,105.66666666666667,0.4668333333333334,0.333,0.8098333333333333,42.0,18.833333333333332,2.5,A
159,122.33333333333333,0.49583333333333335,0.32299999999999995,0.7063333333333334,44.833333333333336,13.333333333333334,5.833333333333333,107.5,0.42333333333333334,0.35400000000000004,0.7346666666666667,46.333333333333336,17.833333333333332,5.333333333333333,A
160,100.83333333333333,0.41500000000000004,0.3241666666666667,0.7469999999999999,45.666666666666664,13.333333333333334,6.0,106.71428571428571,0.4301428571428571,0.3492857142857143,0.779,44.142857142857146,13.571428571428571,2.4285714285714284,A
161,110.0,0.43099999999999994,0.35680000000000006,0.7202,40.6,14.4,5.8,109.0,0.5052857142857142,0.4178571428571428,0.6832857142857144,40.285714285714285,13.857142857142858,4.857142857142857,A
162,114.14285714285714,0.453,0.36442857142857144,0.8055714285714286,44.42857142857143,11.428571428571429,7.571428571428571,110.6,0.43979999999999997,0.32920000000000005,0.7474000000000001,47.2,13.2,4.2,A
163,119.16666666666667,0.4721666666666667,0.37633333333333335,0.8815,51.0,14.5,5.666666666666667,101.5,0.4138333333333333,0.33783333333333326,0.7411666666666666,50.166666666666664,13.833333333333334,4.166666666666667,A
164,113.66666666666667,0.4598333333333333,0.2973333333333334,0.7941666666666666,48.5,13.833333333333334,5.333333333333333,120.0,0.48114285714285715,0.3824285714285715,0.7769999999999999,55.57142857142857,17.142857142857142,7.142857142857143,B
165,110.28571428571429,0.4705714285714286,0.3854285714285714,0.7404285714285715,41.285714285714285,14.571428571428571,4.857142857142857,111.14285714285714,0.4405714285714285,0.32528571428571423,0.7514285714285714,44.142857142857146,15.571428571428571,5.142857142857143,B
