,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,MATCHUPS_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_A,BLK_B,H/A_B,ELO_B,MATCHUPS_B,WINNER
55,107.0,110.7,0.44910000000000005,0.3524999999999999,0.7779,42.9,13.7,4.3,0.5,1477.9458809738503,0.0,119.1,106.9,0.5107999999999999,0.3982,0.7809,42.5,14.8,6.2,0.8,1656.0229601559938,1.0,B
56,105.2,101.8,0.4727,0.3381,0.7001,44.9,18.1,5.1,0.8571428571428571,1464.5929827623136,0.0,106.7,102.8,0.4417999999999999,0.3625,0.7541,44.6,11.7,4.1,0.6666666666666666,1504.0823199302788,1.0,B
57,111.5,116.0,0.45260000000000006,0.325,0.7694000000000001,46.6,14.8,4.1,0.2222222222222222,1405.5898242778294,0.0,106.0,106.7,0.45600000000000007,0.35450000000000004,0.7596,44.5,16.2,5.7,0.6,1510.389938334526,1.0,B
58,102.7,106.2,0.44349999999999995,0.3271,0.7663,44.2,13.8,7.5,0.16666666666666666,1433.8896287522134,0.0,100.0,98.8,0.45830000000000004,0.37489999999999996,0.8314999999999999,40.4,12.0,5.7,0.5714285714285714,1596.4466534181283,1.0,B
59,96.2,96.5,0.45169999999999993,0.3296,0.7741,43.3,11.7,5.1,0.5,1591.9867980495578,0.0,94.1,94.9,0.4170999999999999,0.29610000000000003,0.8036999999999999,42.1,15.6,4.6,0.7142857142857143,1539.0311307966788,1.0,A
60,108.4,102.2,0.45809999999999995,0.373,0.7451,46.6,16.8,5.9,0.8,1618.0799453866603,0.5,100.0,98.8,0.45830000000000004,0.37489999999999996,0.8314999999999999,40.4,12.0,5.7,1.0,1602.556726714384,0.5,B
61,91.2,96.9,0.4111000000000001,0.3376,0.7424999999999999,45.2,14.2,5.9,0.2857142857142857,1436.6010102240302,0.0,95.0,96.1,0.42010000000000003,0.3257,0.6585,45.9,14.0,6.6,0.2857142857142857,1443.1767852777102,1.0,A
62,101.2,106.5,0.44159999999999994,0.3505,0.7743,42.5,14.1,3.9,0.42857142857142855,1451.6047308577536,0.0,106.8,111.9,0.44830000000000003,0.3411,0.7779,43.1,13.9,4.5,0.4444444444444444,1464.3068420961367,1.0,A
63,103.2,103.4,0.43929999999999997,0.36689999999999995,0.7811000000000001,45.1,13.6,4.1,0.0,1490.486162416503,0.0,103.5,98.3,0.43549999999999994,0.3173,0.8300000000000001,48.5,12.0,4.8,0.8,1505.4401237716145,1.0,A
64,109.3,116.2,0.4554,0.3435,0.7911,43.2,13.3,4.6,0.5714285714285714,1456.9374115386897,1.0,86.8,94.4,0.40230000000000005,0.3005,0.7849,39.6,13.0,4.0,0.1111111111111111,1430.2248961118905,0.0,B
65,115.0,99.8,0.49820000000000003,0.4295,0.7876000000000001,42.4,11.4,5.2,0.7777777777777778,1596.3582250356649,1.0,100.0,98.8,0.45830000000000004,0.37489999999999996,0.8314999999999999,40.4,12.0,5.7,1.0,1607.6678047814062,0.0,A
66,99.6,105.6,0.43689999999999996,0.30720000000000003,0.8023999999999999,43.6,15.3,6.2,0.6,1496.2451120634107,0.0,100.7,99.7,0.42350000000000004,0.3438,0.7865,44.6,13.1,4.1,0.5555555555555556,1538.375237923294,1.0,B
67,107.8,112.7,0.45499999999999996,0.34199999999999997,0.7577,44.4,15.8,4.8,0.4,1385.703068294333,0.0,100.7,108.3,0.44089999999999996,0.35520000000000007,0.7187,43.8,18.2,5.2,0.0,1394.4733668925223,1.0,A
68,89.1,97.1,0.4046,0.3194,0.7992999999999999,40.4,13.3,3.9,0.1111111111111111,1434.671992069798,0.0,115.8,101.0,0.49720000000000003,0.4372999999999999,0.7689,42.6,11.5,5.0,0.7777777777777778,1603.6909413783198,1.0,A
