,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_A,BLK_B,H/A_B,ELO_B,WINNER
20,94.14285714285714,104.0,0.43571428571428567,0.29071428571428576,0.7015714285714286,38.42857142857143,14.428571428571429,4.714285714285714,0.0,1432.2203348525427,94.625,100.375,0.42649999999999993,0.365,0.7775,41.25,13.875,5.0,0.4,1509.4849952952316,A
21,95.88888888888889,99.44444444444444,0.42733333333333334,0.2851111111111111,0.8166666666666668,46.0,14.0,4.888888888888889,0.0,1525.9021188104396,88.25,101.625,0.41475000000000006,0.32937500000000003,0.68575,39.75,16.25,6.375,0.0,1411.0550294916209,A
22,99.25,95.375,0.45725,0.33975000000000005,0.786875,43.125,16.25,6.625,0.3333333333333333,1493.128184340849,93.5,89.0,0.43660000000000004,0.2969,0.7537,43.9,17.4,5.0,0.8333333333333334,1627.2377522356496,B
23,88.25,101.625,0.41475000000000006,0.32937500000000003,0.68575,39.75,16.25,6.375,0.0,1408.0415055176647,91.55555555555556,89.66666666666667,0.4154444444444445,0.37433333333333335,0.814,42.333333333333336,13.0,2.888888888888889,0.6666666666666666,1544.0973818486405,B
24,100.5,97.8,0.4953,0.37499999999999994,0.7629999999999999,40.6,17.4,4.7,0.8333333333333334,1512.3304700388808,95.125,91.625,0.451125,0.40212500000000007,0.7618750000000001,38.875,13.625,4.0,0.6,1524.2788851861314,B
25,94.7,95.4,0.43229999999999996,0.3583,0.7400999999999999,44.4,16.5,3.2,0.5,1465.058564745796,97.7,96.4,0.422,0.36130000000000007,0.7859,44.7,14.1,5.8,0.0,1472.5081730756576,A
26,100.0,94.22222222222223,0.44355555555555554,0.3183333333333333,0.6866666666666666,45.22222222222222,13.777777777777779,7.444444444444445,0.6666666666666666,1569.6480666860964,89.9,100.3,0.40790000000000004,0.2994,0.7428000000000001,45.2,16.1,4.7,0.0,1368.4164466896789,A
27,101.1,93.6,0.47830000000000006,0.3246,0.7796000000000001,39.7,13.8,5.7,1.0,1627.145322767215,98.33333333333333,96.33333333333333,0.44777777777777783,0.32977777777777784,0.7894444444444445,44.888888888888886,16.666666666666668,7.0,0.25,1484.4338599771306,A
28,101.1,93.6,0.47830000000000006,0.3246,0.7796000000000001,39.7,13.8,5.7,0.5,1637.355613994174,88.88888888888889,93.0,0.43244444444444446,0.3462222222222222,0.758888888888889,37.666666666666664,15.333333333333334,4.333333333333333,0.42857142857142855,1466.3156791246968,A
29,98.33333333333333,96.33333333333333,0.44777777777777783,0.32977777777777784,0.7894444444444445,44.888888888888886,16.666666666666668,7.0,0.6,1474.2235687501716,94.7,90.2,0.4383,0.31989999999999996,0.7808,44.0,17.6,5.9,0.8,1647.011547716257,B
30,92.8,98.5,0.42699999999999994,0.30260000000000004,0.7782999999999999,42.2,16.2,4.8,0.5,1402.1877270991747,93.3,90.7,0.4332,0.3581,0.8317,42.6,13.7,3.2,0.5714285714285714,1558.4426385304855,A
31,98.7,94.5,0.4527,0.3545,0.7649999999999999,39.2,13.0,5.3,0.8,1514.1496503075223,88.88888888888889,93.0,0.43244444444444446,0.3462222222222222,0.758888888888889,37.666666666666664,15.333333333333334,4.333333333333333,0.0,1458.4778383698683,A
32,100.8,92.4,0.4519,0.3452,0.7124999999999999,43.7,14.0,7.5,0.75,1577.8646698207804,94.6,96.2,0.4417000000000001,0.4051,0.7704000000000001,39.0,11.1,4.9,1.0,1576.9850015320178,A
33,100.8,96.7,0.497,0.3774,0.7570999999999999,39.5,16.7,5.3,0.6,1494.2007922484754,95.6,97.5,0.42110000000000003,0.36819999999999997,0.7424,45.0,15.8,3.5,0.42857142857142855,1474.389436872581,A
