,SEASON_ID,TEAM_A,TEAM_B,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,TOV_A,SEASON_A_PCT,ELO_A,STREAK_A,PER_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,TOV_B,SEASON_B_PCT,ELO_B,STREAK_B,PER_B,WINNER
64,22010,LAC,UTA,93.5,101.0,0.4366666666666667,0.2811666666666667,15.0,0.16666666666666666,1463.461321538392,-1,11.002495485745158,101.0,102.4,0.46099999999999997,0.35,18.0,0.4,1495.8480088711985,-1,14.80238514520591,B
65,22010,NOH,MIL,99.6,93.6,0.47479999999999994,0.379,12.4,1.0,1537.7942668336993,5,17.117822638809667,91.0,94.0,0.4026666666666667,0.3305,15.833333333333334,0.3333333333333333,1482.9786461046283,1,9.147123204593296,A
66,22010,DAL,DEN,98.0,90.25,0.48775,0.37625000000000003,16.25,0.75,1525.4340269983265,2,15.814426548255488,104.8,97.8,0.45620000000000005,0.33299999999999996,13.8,0.6,1523.8065733625583,1,13.876881400554563,B
67,22010,SAC,MEM,107.0,109.2,0.4628,0.38079999999999997,11.8,0.6,1497.6245219551167,-1,15.168887801731142,106.0,110.0,0.4515,0.39516666666666667,17.166666666666668,0.3333333333333333,1479.3971605265056,-3,13.805949774942583,B
68,22010,CLE,WAS,98.2,102.2,0.4584,0.32300000000000006,15.6,0.4,1485.2796148395523,1,14.003586424604022,96.25,109.5,0.44975000000000004,0.3235,19.75,0.25,1461.934663346236,-1,11.92757414720468,A
69,22010,ORL,CHA,103.75,88.75,0.46025000000000005,0.34425,16.75,0.75,1537.023683324209,2,11.523169173288554,90.0,96.6,0.45840000000000003,0.381,19.2,0.2,1466.92304653421,-1,11.702897582645752,A
70,22010,POR,LAL,99.28571428571429,93.14285714285714,0.4522857142857143,0.3077142857142857,13.714285714285714,0.7142857142857143,1533.8082860009595,1,13.622759036816431,112.83333333333333,101.16666666666667,0.4668333333333334,0.44250000000000006,13.333333333333334,1.0,1562.6572826321078,6,17.58333387423171,B
71,22010,PHI,NYK,101.0,102.33333333333333,0.4763333333333333,0.39033333333333337,15.833333333333334,0.16666666666666666,1481.9006029481343,-1,13.892400955075138,105.2,100.2,0.4586,0.3912,15.8,0.6,1519.0996295953298,2,12.285849929229766,A
72,22010,MIN,HOU,97.83333333333333,113.5,0.38716666666666666,0.3481666666666667,18.333333333333332,0.16666666666666666,1438.5893504493542,-4,11.389259256389584,110.4,116.4,0.44800000000000006,0.3182,15.4,0.0,1465.3270563494304,-5,12.966910476602491,B
73,22010,GSW,DET,104.8,102.6,0.4556,0.3618,17.0,0.8,1517.2464968665818,2,14.725507392829643,93.5,100.0,0.42850000000000005,0.38366666666666666,13.333333333333334,0.16666666666666666,1465.4443735655168,1,12.404604123021947,B
74,22010,ATL,PHX,104.83333333333333,96.0,0.4965,0.3076666666666667,14.666666666666666,1.0,1548.4998634021388,6,17.122584135458137,108.2,108.8,0.4588,0.403,17.0,0.4,1494.5158996305158,1,14.277334699225182,B
75,22010,OKC,BOS,101.8,106.4,0.41400000000000003,0.19180000000000003,13.6,0.6,1484.1837506476256,1,13.151001530198865,100.66666666666667,94.83333333333333,0.4865,0.34883333333333333,16.0,0.8333333333333334,1533.7513498924466,4,13.087058803313843,B
76,22010,CHI,DEN,104.6,105.0,0.4958,0.336,17.2,0.4,1496.2573418599454,-2,14.690029485817085,104.5,96.83333333333333,0.45533333333333337,0.38066666666666665,13.5,0.6666666666666666,1534.8839397751806,2,14.96756827639348,A
77,22010,ORL,ATL,101.2,88.6,0.45120000000000005,0.33799999999999997,15.0,0.8,1541.263590041942,3,13.334080481366653,106.14285714285714,99.14285714285714,0.503,0.3071428571428571,14.571428571428571,0.8571428571428571,1540.8711968653631,-1,15.245283326398706,A
78,22010,BOS,DAL,99.42857142857143,93.14285714285714,0.4847142857142857,0.35614285714285715,15.571428571428571,0.8571428571428571,1541.78717537304,5,16.36104496356446,96.8,92.8,0.4796,0.35440000000000005,17.2,0.6,1514.3566605857043,-1,10.746339362761894,B
79,22010,GSW,TOR,103.5,102.5,0.45116666666666666,0.34500000000000003,16.5,0.6666666666666666,1508.8182865192439,-1,16.873258259529326,99.5,103.33333333333333,0.4355,0.284,16.666666666666668,0.16666666666666666,1473.1508426985197,-4,13.627098818567708,A
80,22010,MEM,PHX,105.14285714285714,107.28571428571429,0.45585714285714285,0.3672857142857143,16.857142857142858,0.42857142857142855,1489.7927712999553,1,14.332461382538224,109.83333333333333,109.66666666666667,0.47500000000000003,0.41550000000000004,16.666666666666668,0.5,1502.1445661672915,2,15.128959668675094,A
81,22010,SAS,CHA,109.0,105.4,0.481,0.39360000000000006,16.2,0.8,1520.164779530323,3,17.429148310725733,89.66666666666667,95.66666666666667,0.462,0.3841666666666667,18.666666666666668,0.16666666666666666,1462.683139816477,-2,11.686095574757942,A
82,22010,MIN,LAL,97.28571428571429,114.42857142857143,0.3852857142857143,0.3314285714285714,18.142857142857142,0.14285714285714285,1420.7672634329679,-5,12.53398233408526,114.0,100.42857142857143,0.4785714285714286,0.4465714285714286,13.571428571428571,1.0,1579.8442488271605,7,16.99641827206771,B
83,22010,NJN,CLE,91.16666666666667,98.33333333333333,0.439,0.3895,16.166666666666668,0.3333333333333333,1470.08020616489,-4,9.18546052826966,99.66666666666667,102.16666666666667,0.4613333333333333,0.3431666666666667,15.166666666666666,0.5,1491.7244800990306,2,12.544739984263993,B
84,22010,MIA,UTA,99.57142857142857,86.42857142857143,0.46828571428571425,0.41742857142857137,13.571428571428571,0.7142857142857143,1561.5936349887843,1,15.613013856135524,102.33333333333333,103.16666666666667,0.45283333333333325,0.3471666666666667,17.0,0.5,1500.1200779170124,1,13.610917394287982,B
85,22010,POR,DET,98.875,96.625,0.449125,0.30674999999999997,13.75,0.625,1516.6213198059068,-1,13.91088099880918,94.71428571428571,99.57142857142857,0.4317142857142858,0.4044285714285714,13.285714285714286,0.2857142857142857,1473.8725839128547,2,12.574209387252113,A
86,22010,MIL,NYK,89.57142857142857,93.0,0.4002857142857143,0.319,15.285714285714286,0.2857142857142857,1476.729925192395,-1,10.244417131512296,103.66666666666667,101.16666666666667,0.44883333333333336,0.35233333333333333,16.0,0.5,1507.2629970049675,-1,11.318070721024007,A
87,22010,IND,DEN,95.4,100.8,0.41999999999999993,0.331,16.8,0.4,1476.2237185427632,-2,10.8210963558989,102.71428571428571,96.42857142857143,0.45257142857142857,0.38185714285714284,14.142857142857142,0.5714285714285714,1529.3459582623052,-1,14.018327955302166,A
88,22010,LAC,NOH,95.42857142857143,102.14285714285714,0.4357142857142858,0.27671428571428575,16.142857142857142,0.14285714285714285,1459.1892524925781,-2,9.579826910841394,97.5,91.5,0.4704999999999999,0.3845,13.5,1.0,1544.0429877459326,6,14.030051051181434,B
89,22010,LAC,SAS,93.75,102.0,0.43912500000000004,0.28125,17.25,0.125,1447.931272499598,-3,9.734454220860977,106.66666666666667,103.0,0.4715,0.405,16.333333333333332,0.8333333333333334,1525.2197969304684,4,16.543771987655106,B
