,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,H/A_A,ELO_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,H/A_B,ELO_B,SCORE_A,SCORE_B
29,89.33333333333333,93.0,0.4346666666666667,0.20200000000000004,0.8056666666666666,40.0,13.666666666666666,5.0,0.0,1468.2433687909124,90.66666666666667,100.66666666666667,0.4216666666666667,0.393,0.75,36.333333333333336,10.333333333333334,3.6666666666666665,1.0,1476.1049569147879,93,97
30,94.5,89.5,0.44999999999999996,0.30300000000000005,0.84,43.0,17.5,8.0,1.0,1492.4568757793616,96.0,95.0,0.44799999999999995,0.308,0.7915,41.0,14.5,8.0,1.0,1490.3886481222398,98,80
31,105.66666666666667,84.0,0.45333333333333337,0.5263333333333333,0.7783333333333333,51.0,15.666666666666666,5.0,1.0,1557.9353920163162,94.33333333333333,83.33333333333333,0.4043333333333334,0.36633333333333334,0.8723333333333333,46.0,13.666666666666666,2.3333333333333335,1.0,1525.3335985837195,111,82
32,101.33333333333333,101.66666666666667,0.458,0.301,0.7309999999999999,44.333333333333336,16.666666666666668,6.0,0.0,1491.1830238845555,81.0,87.33333333333333,0.40166666666666667,0.218,0.741,44.666666666666664,14.666666666666666,5.666666666666667,0.0,1493.8951282281093,100,90
33,84.0,90.66666666666667,0.41933333333333334,0.16666666666666666,0.7033333333333333,41.333333333333336,16.333333333333332,5.666666666666667,0.5,1466.6238615783711,97.0,86.5,0.4355,0.28500000000000003,0.6995,47.0,12.5,6.0,1.0,1544.9771707011018,85,89
34,83.5,105.0,0.3915,0.266,0.681,40.75,17.25,6.25,0.0,1423.5655289339445,98.5,98.5,0.4315,0.2815,0.812,39.0,10.5,4.5,1.0,1493.900375337126,103,92
35,97.66666666666667,108.33333333333333,0.39333333333333337,0.31433333333333335,0.7566666666666667,43.333333333333336,13.666666666666666,0.6666666666666666,0.5,1488.7537988094448,96.0,82.0,0.45766666666666667,0.15733333333333333,0.7276666666666666,44.333333333333336,11.0,3.6666666666666665,1.0,1545.2599961199019,107,99
36,87.33333333333333,94.66666666666667,0.4383333333333334,0.341,0.765,35.333333333333336,16.0,4.333333333333333,0.5,1484.9750795668076,99.33333333333333,93.0,0.4776666666666667,0.5416666666666666,0.8390000000000001,34.666666666666664,14.333333333333334,6.666666666666667,1.0,1500.3155996234625,79,89
37,88.33333333333333,86.66666666666667,0.41,0.2213333333333333,0.6623333333333333,45.666666666666664,20.333333333333332,4.0,0.0,1534.772866862427,106.0,95.33333333333333,0.49066666666666664,0.46366666666666667,0.8456666666666667,44.0,13.666666666666666,6.333333333333333,1.0,1528.3474481175092,88,76
38,88.33333333333333,86.66666666666667,0.41,0.2213333333333333,0.6623333333333333,45.666666666666664,20.333333333333332,4.0,1.0,1546.1355005105072,99.33333333333333,93.0,0.4776666666666667,0.5416666666666666,0.8390000000000001,34.666666666666664,14.333333333333334,6.666666666666667,1.0,1510.114947299853,94,87
39,96.5,95.25,0.43775000000000003,0.3005,0.682,44.5,16.5,7.25,0.6666666666666666,1529.3285751661028,90.66666666666667,100.66666666666667,0.4216666666666667,0.393,0.75,36.333333333333336,10.333333333333334,3.6666666666666665,0.0,1482.2476125790008,99,106
40,101.66666666666667,99.0,0.4566666666666666,0.3233333333333333,0.673,38.666666666666664,13.0,5.333333333333333,1.0,1519.4686403678163,96.0,95.0,0.44799999999999995,0.308,0.7915,41.0,14.5,8.0,1.0,1475.2738200719602,99,94
41,94.5,89.5,0.44999999999999996,0.30300000000000005,0.84,43.0,17.5,8.0,1.0,1507.5717038296411,84.0,90.66666666666667,0.41933333333333334,0.16666666666666666,0.7033333333333333,41.333333333333336,16.333333333333332,5.666666666666667,0.0,1461.9923744851858,107,99
