,GAME_DATE,TEAM_A_ID,TEAM_B_ID,TEAM_A,TEAM_B,TEAM_A_PTS,TEAM_B_PTS,TEAM_A_ODDS,TEAM_B_ODDS
2344,2010-03-31 21:00:00,1610612740,1610612764,New Orleans Pelicans,Washington Wizards,91,96,1.18,5.14
2345,2010-04-02 20:30:00,1610612738,1610612745,Boston Celtics,Houston Rockets,114,119,1.12,6.48
2346,2010-04-02 20:00:00,1610612766,1610612749,Charlotte Hornets,Milwaukee Bucks,87,86,1.60,2.39
2347,2010-04-02 20:00:00,1610612754,1610612748,Indiana Pacers,Miami Heat,96,105,1.89,1.92
2348,2010-04-02 20:00:00,1610612764,1610612741,Washington Wizards,Chicago Bulls,87,95,2.98,1.41
2349,2010-04-01 23:30:00,1610612743,1610612757,Denver Nuggets,Portland Trail Blazers,109,92,1.44,2.83
2350,2010-04-01 21:00:00,1610612742,1610612753,Dallas Mavericks,Orlando Magic,82,97,2.15,1.74
2351,2010-04-03 20:30:00,1610612751,1610612740,Brooklyn Nets,New Orleans Pelicans,115,87,2.28,1.66
2352,2010-04-03 20:00:00,1610612737,1610612765,Atlanta Hawks,Detroit Pistons,91,85,1.04,11.65
2353,2010-04-03 14:00:00,1610612755,1610612761,Philadelphia 76ers,Toronto Raptors,123,128,2.68,1.50
2354,2010-04-02 23:30:00,1610612744,1610612752,Golden State Warriors,New York Knicks,128,117,1.55,2.54
2355,2010-04-02 23:30:00,1610612747,1610612762,Los Angeles Lakers,Utah Jazz,106,92,1.48,2.71
2356,2010-04-02 21:30:00,1610612759,1610612753,San Antonio Spurs,Orlando Magic,112,100,1.62,2.34
2357,2010-04-02 21:00:00,1610612739,1610612737,Cleveland Cavaliers,Atlanta Hawks,93,88,1.42,2.93
2358,2010-04-02 21:00:00,1610612765,1610612756,Detroit Pistons,Phoenix Suns,94,109,4.91,1.19
2359,2010-04-02 21:00:00,1610612763,1610612740,Memphis Grizzlies,New Orleans Pelicans,107,96,1.60,2.40
2360,2010-04-04 20:00:00,1610612760,1610612750,Oklahoma City Thunder,Minnesota Timberwolves,116,108,1.06,10.55
2361,2010-04-04 19:00:00,1610612754,1610612745,Indiana Pacers,Houston Rockets,133,102,1.53,2.58
2362,2010-04-04 19:00:00,1610612753,1610612763,Orlando Magic,Memphis Grizzlies,107,92,1.11,7.09
2363,2010-04-04 19:00:00,1610612761,1610612744,Toronto Raptors,Golden State Warriors,112,113,1.25,4.09
2364,2010-04-04 19:00:00,1610612764,1610612751,Washington Wizards,Brooklyn Nets,109,99,1.58,2.45
2365,2010-04-04 16:30:00,1610612747,1610612759,Los Angeles Lakers,San Antonio Spurs,81,100,1.46,2.79
2366,2010-04-04 14:00:00,1610612738,1610612739,Boston Celtics,Cleveland Cavaliers,117,113,1.79,2.04
