,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
344,DEN,1610612743,2017-12-27,125,128,0.462,0.385,0.839,48,9,2,0.5588235294117647,0.4,1549.0078698686823,1543.5732250424785,3,18.571255190017336,0
345,MIN,1610612750,2017-12-27,128,125,0.522,0.414,0.733,42,6,7,0.6176470588235294,0.6,1543.5732250424785,1549.0078698686823,4,18.47030675880807,1
346,CHA,1610612766,2017-12-27,91,102,0.368,0.304,0.69,52,12,3,0.36363636363636365,0.3,1463.0146562271186,1568.6500814596084,1,16.617263314799786,0
347,BOS,1610612738,2017-12-27,102,91,0.474,0.441,1.0,43,16,7,0.7297297297297297,0.6,1568.6500814596084,1463.0146562271186,-1,15.16010683956951,1
348,DET,1610612765,2017-12-28,89,102,0.402,0.391,0.714,41,16,4,0.5757575757575758,0.5,1518.4245146976307,1361.1180897114975,2,15.037771636350739,0
349,ORL,1610612753,2017-12-28,102,89,0.451,0.423,1.0,48,19,3,0.3142857142857143,0.3,1361.1180897114975,1518.4245146976307,-9,15.641798092845637,1
350,POR,1610612757,2017-12-28,114,110,0.467,0.333,0.766,47,15,3,0.5151515151515151,0.3,1500.6964838195076,1479.2653307536089,1,12.033001054925212,1
351,PHI,1610612755,2017-12-28,110,114,0.483,0.5,0.714,37,14,2,0.45454545454545453,0.4,1479.2653307536089,1500.6964838195076,1,17.604309549049496,0
352,GSW,1610612744,2017-12-29,100,111,0.46,0.364,0.923,43,18,5,0.8,0.8,1661.556240865588,1455.8566468479119,2,17.78679262443385,0
353,CHA,1610612766,2017-12-29,111,100,0.461,0.3,0.676,47,11,6,0.35294117647058826,0.1,1455.8566468479119,1661.556240865588,-1,16.47001805953737,1
354,LAL,1610612747,2017-12-29,106,121,0.489,0.158,0.688,35,12,3,0.3333333333333333,0.2,1430.7079169405192,1469.1995603901066,-4,15.767368199188251,0
355,LAC,1610612746,2017-12-29,121,106,0.488,0.281,0.824,49,16,6,0.42424242424242425,0.4,1469.1995603901066,1430.7079169405192,1,18.215280460947987,1
356,CHI,1610612741,2017-12-29,119,107,0.506,0.462,1.0,40,15,4,0.35294117647058826,0.6,1454.5050684473447,1516.9751773756138,2,16.789458773413564,1
357,IND,1610612754,2017-12-29,107,119,0.462,0.318,0.7,43,10,6,0.5428571428571428,0.6,1516.9751773756138,1454.5050684473447,-2,15.074900043670578,0
358,MIA,1610612748,2017-12-29,87,111,0.337,0.115,0.774,43,11,3,0.5294117647058824,0.5,1494.4122920583018,1440.1767198504283,1,16.054439997262236,0
359,BKN,1610612751,2017-12-29,111,87,0.494,0.423,0.88,54,19,4,0.35294117647058826,0.3,1440.1767198504283,1494.4122920583018,-3,15.134841885009374,1
