,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PER_A,WINNER
69,BOS,1610612738,2010-11-11,112,107,0.544,0.563,0.68,35,12,0,0.75,0.5,1536.4576663636603,-1,16.898604825905128,1
70,DEN,1610612743,2010-11-11,118,112,0.489,0.28,0.806,43,11,5,0.5,0.6666666666666666,1502.4102678559998,-2,16.2589322898733,1
71,LAL,1610612747,2010-11-11,112,118,0.408,0.31,0.767,50,10,6,1.0,1.0,1583.4130698828267,8,19.17950296106949,0
72,SAC,1610612758,2010-11-12,89,103,0.409,0.278,0.632,50,11,1,0.42857142857142855,0.6666666666666666,1474.8666510003832,-3,12.90788291813936,0
73,PHX,1610612756,2010-11-12,103,89,0.519,0.333,0.63,42,11,3,0.42857142857142855,0.3333333333333333,1491.2910223266467,-1,14.984695583079212,1
74,LAC,1610612746,2010-11-12,107,113,0.463,0.2,0.763,49,22,4,0.1111111111111111,0.25,1439.371001557864,-4,11.304398750111892,0
75,DET,1610612765,2010-11-12,113,107,0.476,0.611,0.667,34,13,3,0.25,0.0,1459.0141999028565,-1,10.751530834981839,1
76,TOR,1610612761,2010-11-12,110,106,0.5,0.462,0.774,39,16,3,0.125,0.0,1458.557736236617,-6,13.005761066243872,1
77,ORL,1610612753,2010-11-12,106,110,0.527,0.5,0.552,34,16,6,0.7142857142857143,0.8,1535.569410991741,-1,15.204601024202763,0
78,ATL,1610612737,2010-11-12,86,90,0.493,0.263,0.524,41,16,5,0.6666666666666666,0.5,1517.9600840837168,-3,17.356900122035434,0
79,UTA,1610612762,2010-11-12,90,86,0.429,0.333,0.737,43,9,3,0.625,0.6,1518.1011594223783,3,15.556546474121886,1
80,HOU,1610612745,2010-11-12,102,99,0.5,0.389,0.68,41,16,9,0.14285714285714285,0.0,1473.8625613050144,-1,13.937401724651165,1
81,IND,1610612754,2010-11-12,99,102,0.449,0.409,0.769,41,15,4,0.5,0.6666666666666666,1503.1594089490686,1,16.803962241905605,0
82,DAL,1610612742,2010-11-12,99,90,0.443,0.273,0.793,47,10,4,0.7142857142857143,0.5,1532.2216179562206,2,13.583871285548513,1
83,PHI,1610612755,2010-11-12,90,99,0.446,0.125,0.609,42,13,3,0.25,0.25,1485.497417386708,-1,14.956605954070225,0
84,NYK,1610612752,2010-11-12,103,112,0.38,0.379,0.88,43,14,11,0.375,0.5,1478.4314535224212,-3,16.16360878089318,0
85,MIN,1610612750,2010-11-12,112,103,0.436,0.4,0.762,56,14,8,0.2222222222222222,0.3333333333333333,1429.5607025585855,1,13.960883547994179,1
86,WAS,1610612764,2010-11-12,85,93,0.419,0.238,0.8,30,12,9,0.3333333333333333,0.6666666666666666,1464.77638014756,1,12.592029691714353,0
87,CHA,1610612766,2010-11-12,93,85,0.493,0.438,0.75,48,24,6,0.25,0.4,1464.8786044794829,1,14.09813275408543,1
88,POR,1610612757,2010-11-12,108,110,0.539,0.467,0.792,30,15,4,0.6666666666666666,0.6,1531.479703815905,1,16.514195024377376,0
89,OKC,1610612760,2010-11-12,110,108,0.548,0.5,0.923,30,14,8,0.5714285714285714,0.5,1484.3877433188206,1,16.208881672248847,1
90,PHI,1610612755,2010-11-13,93,116,0.415,0.444,0.875,38,15,6,0.2222222222222222,0.2,1477.3686367783243,-2,10.125378544065853,0
91,SAS,1610612759,2010-11-13,116,93,0.482,0.444,0.839,47,14,5,0.8571428571428571,0.75,1533.7800678722024,5,20.27741570884899,1
92,WAS,1610612764,2010-11-13,96,103,0.449,0.6,0.5,47,23,6,0.2857142857142857,0.0,1455.700482895573,-1,13.44338319516326,0
93,CHI,1610612741,2010-11-13,103,96,0.447,0.391,0.765,40,15,10,0.5714285714285714,0.8,1525.3441118058415,2,18.10868786030308,1
94,NJN,1610612751,2010-11-13,90,91,0.493,0.444,0.8,31,13,5,0.375,0.4,1475.749186583361,1,14.014678830025412,0
95,ORL,1610612753,2010-11-13,91,90,0.416,0.32,0.731,43,10,4,0.625,0.5,1527.3599349274532,-2,15.406217533228551,1
96,CLE,1610612739,2010-11-13,85,99,0.386,0.133,0.826,41,13,3,0.5,0.25,1486.0554996805595,-1,12.926616629547615,0
97,IND,1610612754,2010-11-13,99,85,0.456,0.4,1.0,42,14,7,0.42857142857142855,0.3333333333333333,1496.9530260027877,-1,15.42533998736361,1
98,MIA,1610612748,2010-11-13,109,100,0.506,0.3,0.722,38,9,2,0.5555555555555556,0.6,1548.08120581643,-2,17.568747001828186,1
99,TOR,1610612761,2010-11-13,100,109,0.451,0.263,0.724,44,11,4,0.2222222222222222,0.2,1466.767212300905,1,15.60247487867566,0
100,GSW,1610612744,2010-11-13,72,79,0.341,0.455,0.6,42,17,4,0.6666666666666666,0.4,1498.8562178567506,-1,14.855520279368804,0
101,MIL,1610612749,2010-11-13,79,72,0.337,0.375,0.81,58,20,9,0.4444444444444444,0.5,1515.9132427347915,2,12.27845909191793,1
102,NOH,1610612740,2010-11-13,107,87,0.481,0.333,0.926,40,12,5,1.0,1.0,1555.3009677389127,7,17.654696853484594,1
103,POR,1610612757,2010-11-13,87,107,0.407,0.235,0.895,38,13,7,0.6,0.5,1525.7822592522136,-1,15.566310109655513,0
104,MEM,1610612763,2010-11-13,110,116,0.53,0.222,0.833,38,17,5,0.4444444444444444,0.5,1488.1108667794635,-1,17.900339525139188,0
105,BOS,1610612738,2010-11-13,116,110,0.577,0.583,0.731,32,17,5,0.7777777777777778,0.6,1543.9984364308698,1,16.25924513565479,1
106,CHA,1610612766,2010-11-13,95,96,0.443,0.381,0.708,43,11,8,0.3333333333333333,0.0,1473.95450173147,2,14.525637764732755,0
107,UTA,1610612762,2010-11-13,96,95,0.443,0.286,0.759,40,9,7,0.6666666666666666,0.6666666666666666,1524.4222465541786,4,15.522609065723321,1
108,PHX,1610612756,2010-11-14,121,116,0.512,0.55,0.684,32,12,3,0.5,0.5,1503.3862228787223,1,14.920362447988895,1
109,LAL,1610612747,2010-11-14,116,121,0.49,0.391,0.765,49,18,3,0.8888888888888888,1.0,1573.2509378745935,-1,19.30906823702086,0
110,NYK,1610612752,2010-11-14,96,104,0.437,0.188,0.708,42,12,7,0.3333333333333333,0.25,1466.8860226464217,-4,16.36746564660448,0
111,HOU,1610612745,2010-11-14,104,96,0.45,0.333,0.722,47,17,1,0.25,0.2,1480.0689442512953,1,14.42643107890621,1
112,MIN,1610612750,2010-11-14,105,111,0.474,0.381,0.742,39,21,4,0.3,0.16666666666666666,1441.106133434585,2,14.821530352094115,0
113,ATL,1610612737,2010-11-14,111,105,0.45,0.455,0.872,40,15,7,0.6,0.4,1511.6389969519164,-4,17.685949758949853,1
114,SAC,1610612758,2010-11-14,94,100,0.453,0.111,0.667,41,12,3,0.375,0.25,1462.7714504483076,-4,13.410033704794795,0
115,DET,1610612765,2010-11-14,100,94,0.539,0.333,0.789,37,12,5,0.3333333333333333,0.2,1466.197323270678,1,13.687298419214594,1
116,OKC,1610612760,2010-11-14,104,117,0.452,0.308,0.8,36,14,6,0.625,0.6,1490.085187882512,2,16.39693835237454,0
117,SAS,1610612759,2010-11-14,117,104,0.409,0.55,0.895,45,12,5,0.875,1.0,1548.2855982345284,6,19.234623212068946,1
118,GSW,1610612744,2010-11-15,101,97,0.424,0.389,0.815,44,13,5,0.6,1.0,1490.963835021641,-2,13.845317316087185,1
119,DET,1610612765,2010-11-15,97,101,0.446,0.368,0.667,42,16,3,0.4,0.3333333333333333,1473.8328789520638,2,13.319599195739714,0
120,DEN,1610612743,2010-11-15,94,100,0.416,0.176,0.68,52,16,1,0.5555555555555556,0.4,1512.572399864233,1,16.906917807133294,0
121,PHX,1610612756,2010-11-15,100,94,0.427,0.2,0.8,43,10,8,0.5555555555555556,0.5,1512.319233211141,2,16.705192183022326,1
122,LAC,1610612746,2010-11-15,96,110,0.395,0.333,0.737,34,13,0,0.1,0.2,1432.1878781900425,-5,11.802248464915284,0
123,NJN,1610612751,2010-11-15,110,96,0.597,0.4,0.947,35,13,8,0.3333333333333333,0.3333333333333333,1472.4399482986037,-1,7.777477432082054,1
124,ORL,1610612753,2010-11-15,89,72,0.438,0.353,0.794,47,20,6,0.6666666666666666,0.6666666666666666,1530.6691732122106,1,18.34399611045437,1
125,MEM,1610612763,2010-11-15,72,89,0.363,0.214,0.55,39,18,4,0.4,0.4,1481.8895420879817,-2,17.41256348417208,0
126,UTA,1610612762,2010-11-15,108,115,0.506,0.375,0.818,34,15,3,0.7,0.6666666666666666,1527.7469026369015,5,13.94484204890609,0
127,OKC,1610612760,2010-11-15,115,108,0.507,0.4,0.971,39,12,6,0.5555555555555556,0.6666666666666666,1480.3205789576602,-1,16.426545630899756,1
128,DAL,1610612742,2010-11-15,98,95,0.493,0.407,0.704,38,15,3,0.75,0.6,1540.3503985646043,3,16.225992596186405,1
129,NOH,1610612740,2010-11-15,95,98,0.442,0.44,0.667,42,13,3,1.0,1.0,1569.9470139609753,8,17.471892486162428,0
130,CHA,1610612766,2010-11-15,113,110,0.521,0.5,0.75,45,17,11,0.3,0.0,1470.629845648747,-1,15.971240923266382,1
131,MIN,1610612750,2010-11-15,110,113,0.462,0.45,0.652,37,11,9,0.2727272727272727,0.14285714285714285,1435.2523186860435,-1,12.600072445162521,0
132,HOU,1610612745,2010-11-16,92,95,0.479,0.333,0.76,32,23,3,0.3333333333333333,0.3333333333333333,1488.712758918159,2,15.978381011335442,0
133,CHI,1610612741,2010-11-16,95,92,0.486,0.667,0.536,40,20,4,0.625,0.0,1531.7366053386454,3,18.297755279435233,1
134,PHI,1610612755,2010-11-16,93,101,0.43,0.462,0.864,45,15,5,0.2,0.16666666666666666,1462.8631064159983,-3,15.092874668521969,0
135,CLE,1610612739,2010-11-16,101,93,0.463,0.4,0.76,38,8,3,0.4444444444444444,0.2,1473.7047707109268,-2,11.683136832156867,1
136,LAL,1610612747,2010-11-16,118,107,0.538,0.625,0.828,40,13,4,0.8,0.6666666666666666,1564.3179275421749,-2,18.58278574574257,1
137,MIL,1610612749,2010-11-16,107,118,0.461,0.375,0.593,47,13,7,0.5,0.6,1523.8056255699012,3,12.825460738302631,0
138,ATL,1610612737,2010-11-16,102,92,0.5,0.533,0.87,30,11,8,0.6363636363636364,0.8,1517.4928117004579,1,16.66767834003893,1
139,IND,1610612754,2010-11-16,92,102,0.443,0.222,0.867,42,16,6,0.5,0.5,1509.3037549724204,1,13.9364715523433,0
140,NYK,1610612752,2010-11-16,118,120,0.439,0.29,0.697,51,11,12,0.3,0.4,1458.242207979558,-5,16.17834543795794,0
141,DEN,1610612743,2010-11-16,120,118,0.488,0.357,0.66,44,14,2,0.5,0.75,1504.8324694676155,-1,15.645262165406022,1
142,WAS,1610612764,2010-11-16,109,94,0.563,0.4,0.684,47,16,5,0.25,0.5,1449.3079893627691,-2,12.602621246151449,1
143,TOR,1610612761,2010-11-16,94,109,0.407,0.364,0.769,36,13,0,0.2,0.16666666666666666,1459.728656586507,-1,14.568102013193231,0
144,POR,1610612757,2010-11-16,100,99,0.46,0.368,0.867,39,14,7,0.5454545454545454,0.42857142857142855,1511.136213030151,-2,14.787438905784485,1
145,MEM,1610612763,2010-11-16,99,100,0.48,0.368,0.741,38,19,4,0.36363636363636365,0.4,1469.7585493388565,-3,16.4133096401307,0
146,TOR,1610612761,2010-11-17,94,86,0.466,0.167,0.828,44,14,5,0.18181818181818182,0.14285714285714285,1445.7449292328065,-2,12.773204226557635,1
147,PHI,1610612755,2010-11-17,86,94,0.368,0.125,0.75,48,13,3,0.18181818181818182,0.25,1454.142657245895,-4,14.648999209892864,0
148,CHI,1610612741,2010-11-17,94,103,0.424,0.353,0.714,42,11,3,0.6666666666666666,0.3333333333333333,1536.4753361281914,4,17.848971118944842,0
149,SAS,1610612759,2010-11-17,103,94,0.482,0.462,0.682,50,14,4,0.8888888888888888,0.8,1558.05020715938,7,20.09081391341142,1
150,BOS,1610612738,2010-11-17,114,83,0.658,0.615,0.462,40,14,2,0.8,1.0,1550.2197611223517,2,16.81397915468846,1
151,WAS,1610612764,2010-11-17,83,114,0.388,0.273,0.75,36,16,5,0.3333333333333333,0.0,1463.2917167164696,1,11.718258163869582,0
152,MIA,1610612748,2010-11-17,123,96,0.547,0.368,0.88,42,11,3,0.6,0.6666666666666666,1555.1197615308279,1,16.061117655306838,1
153,PHX,1610612756,2010-11-17,96,123,0.444,0.263,0.73,32,17,4,0.6,0.6,1520.0591636077584,3,16.184947295985047,0
154,DET,1610612765,2010-11-17,90,103,0.393,0.25,0.762,41,5,5,0.36363636363636365,0.5,1467.9013824523718,-1,13.555037395132697,0
155,LAL,1610612747,2010-11-17,103,90,0.446,0.438,0.917,55,12,2,0.8181818181818182,0.75,1573.745565328865,1,20.596114767004405,1
156,NJN,1610612751,2010-11-17,88,98,0.376,0.19,0.8,57,15,7,0.4,0.5,1483.4632097957847,1,14.898729317088211,0
157,UTA,1610612762,2010-11-17,98,88,0.402,0.083,0.838,44,7,8,0.6363636363636364,0.5,1517.8160556636374,-1,17.29303069875001,1
158,SAC,1610612758,2010-11-17,106,113,0.449,0.267,0.846,39,16,5,0.3333333333333333,0.2,1455.1358947669219,-5,13.598756585893046,0
159,NYK,1610612752,2010-11-17,113,106,0.521,0.4,0.846,37,18,5,0.2727272727272727,0.3333333333333333,1454.2049077843742,-6,16.465070668609584,1
160,LAC,1610612746,2010-11-17,111,113,0.483,0.348,0.76,43,17,2,0.09090909090909091,0.0,1421.1646166928615,-6,14.146962129775062,0
161,MIN,1610612750,2010-11-17,113,111,0.534,0.526,0.893,33,14,9,0.25,0.5,1430.3672623442599,-2,13.094565691305384,1
162,NOH,1610612740,2010-11-17,99,97,0.488,0.571,0.688,31,10,4,0.8888888888888888,1.0,1563.7342012923555,-1,18.139509437954473,1
163,DAL,1610612742,2010-11-17,97,99,0.507,0.389,0.87,35,15,6,0.7777777777777778,1.0,1546.5632112332241,4,16.41276480960593,0
164,HOU,1610612745,2010-11-17,99,116,0.468,0.333,0.71,40,17,3,0.3,0.3333333333333333,1483.9740281286129,-1,12.731613056036336,0
165,OKC,1610612760,2010-11-17,116,99,0.5,0.417,0.862,43,9,7,0.6,0.5,1490.2514259309244,1,15.249299652013537,1
166,PHX,1610612756,2010-11-18,89,105,0.456,0.167,0.727,34,18,1,0.5454545454545454,0.5,1502.3340569107975,-1,13.958275345145195,0
167,ORL,1610612753,2010-11-18,105,89,0.541,0.4,0.652,37,17,5,0.7,0.7142857142857143,1542.8001659613358,2,13.99794774913017,1
168,POR,1610612757,2010-11-18,86,83,0.4,0.318,0.5,48,12,7,0.5833333333333334,0.75,1514.5848599975282,1,15.319013656151997,1
169,DEN,1610612743,2010-11-18,83,86,0.385,0.385,0.821,35,18,5,0.5454545454545454,0.3333333333333333,1508.8697696627994,1,16.862623472144385,0
170,LAC,1610612746,2010-11-18,80,107,0.333,0.222,0.727,42,12,3,0.08333333333333333,0.0,1416.495083248036,-7,15.128150947645514,0
171,IND,1610612754,2010-11-18,107,80,0.506,0.538,0.75,47,17,14,0.4444444444444444,0.4,1499.2367430453753,-1,14.337615417106672,1
172,PHI,1610612755,2010-11-19,90,79,0.405,0.353,0.857,42,16,4,0.16666666666666666,0.2,1444.781043679252,-5,14.07770597039622,1
173,MIL,1610612749,2010-11-19,79,90,0.338,0.0,0.871,43,14,7,0.45454545454545453,0.4,1514.377987783211,-1,13.051324089937413,0
174,NYK,1610612752,2010-11-19,125,119,0.571,0.435,0.844,43,18,7,0.3333333333333333,0.42857142857142855,1462.6465023450112,1,16.796770457091505,1
175,GSW,1610612744,2010-11-19,119,125,0.516,0.542,0.706,33,10,2,0.6363636363636364,1.0,1496.895331521333,1,15.63682460761168,0
176,OKC,1610612760,2010-11-19,89,84,0.431,0.667,0.844,37,20,2,0.6363636363636364,0.75,1504.5624123550401,2,14.274234254625238,1
177,BOS,1610612738,2010-11-19,84,89,0.485,0.125,0.63,31,15,3,0.8181818181818182,1.0,1566.0253242466179,3,18.05323228199638,0
178,CHA,1610612766,2010-11-19,87,95,0.465,0.235,0.773,38,15,1,0.36363636363636365,0.5,1475.5149019905307,1,13.761958913841449,0
179,MIA,1610612748,2010-11-19,95,87,0.425,0.294,0.815,44,12,3,0.6363636363636364,0.7142857142857143,1572.8448682277888,2,20.365395063320925,1
180,UTA,1610612762,2010-11-19,82,94,0.419,0.214,0.739,31,14,3,0.6666666666666666,0.6,1526.9206073112282,1,16.914199182572137,0
181,SAS,1610612759,2010-11-19,94,82,0.439,0.25,0.708,46,13,4,0.9,1.0,1567.0254543384,8,18.649817292013918,1
182,DAL,1610612742,2010-11-19,83,88,0.4,0.25,0.72,34,8,5,0.7,0.6666666666666666,1542.0321949998854,-1,16.858770407088453,0
183,CHI,1610612741,2010-11-19,88,83,0.447,0.263,0.652,59,18,3,0.6,0.25,1527.5000889491714,-1,17.893195313138012,1
184,NJN,1610612751,2010-11-19,81,86,0.457,0.182,0.789,39,17,4,0.36363636363636365,0.4,1474.3586581481939,-1,15.021305484771016,0
185,SAC,1610612758,2010-11-19,86,81,0.429,0.364,0.696,45,16,6,0.3,0.16666666666666666,1446.6943002062849,-6,15.173966560391737,1
186,CLE,1610612739,2010-11-19,101,108,0.349,0.36,0.941,53,13,2,0.5,0.75,1482.4252198810302,1,13.672664672104226,0
