,SEASON_ID,GAME_DATE,TEAM_SELECTED,OPPONENT,PTS_A,PTS_CON_A,FT_PCT_A,FG_PCT_A,FG3_PCT_A,ELO_A,PER_A,HA_PTS_A,HA_PTS_CON_A,SEASON_PTS_A,PTS_B,PTS_CON_B,FT_PCT_B,FG_PCT_B,FG3_PCT_B,ELO_B,PER_B,HA_PTS_B,HA_PTS_CON_B,SEASON_PTS_B,SCORE_A,SCORE_B
19,22018,2019-01-19,BOS,ATL,113.4,107.1,0.8012,0.48369999999999996,0.38270000000000004,1589.375159639209,20.41462960975739,112.5,110.3,112.04444444444445,111.5,116.4,0.7249999999999999,0.46080000000000004,0.358,1475.0989385763205,17.261885299951057,117.0,116.8,109.9090909090909,113,105
20,22018,2019-01-21,BOS,MIA,113.6,105.6,0.8231999999999999,0.4791,0.38780000000000003,1595.0523726694837,20.89612484140715,116.9,107.0,112.06521739130434,104.0,105.5,0.6382,0.46950000000000003,0.3496,1520.4505347146323,17.27620101612986,100.1,102.6,106.11363636363636,107,99
21,22018,2019-01-23,BOS,CLE,112.8,105.3,0.8264999999999999,0.46929999999999994,0.38780000000000003,1601.8083722827148,16.814911362695238,117.3,105.8,111.95744680851064,104.3,122.1,0.8264999999999999,0.44210000000000005,0.3631999999999999,1478.7992361063732,15.029621760823286,105.0,119.4,102.47916666666667,123,103
22,22018,2019-01-28,BOS,BKN,113.2,108.3,0.8460000000000001,0.46869999999999995,0.3891,1602.5487354425136,16.90768901005964,118.1,105.3,112.16326530612245,115.0,110.0,0.7735000000000001,0.457,0.3466,1499.9049564894983,16.455922434623627,111.3,114.1,111.78,112,104
23,22018,2019-01-30,BOS,CHA,110.9,107.9,0.8485000000000001,0.4569000000000001,0.3778,1608.5299790006961,15.39428250947091,117.2,104.3,112.16,107.2,108.9,0.7556999999999999,0.4418,0.3574,1496.8999413487836,15.197785435808477,107.7,115.3,111.81632653061224,126,94
24,22018,2019-02-01,BOS,NYK,113.6,105.8,0.8478000000000001,0.4721,0.3839,1623.0332312018552,19.373302858483285,112.0,109.9,112.43137254901961,100.3,112.3,0.7667999999999999,0.42879999999999996,0.30789999999999995,1487.998029214073,14.00417432950695,103.6,116.0,106.2,113,99
25,22018,2019-02-03,BOS,OKC,114.6,105.2,0.8599,0.47590000000000005,0.394,1630.3436985652397,19.73598819485116,118.3,103.5,112.4423076923077,122.7,117.7,0.7301,0.47870000000000007,0.44480000000000003,1492.3230540763814,22.495501869239167,120.0,115.5,114.54901960784314,134,129
26,22018,2019-02-05,BOS,CLE,117.8,107.2,0.8625,0.49450000000000005,0.4016,1634.288232831482,18.722726352785195,110.0,112.1,112.84905660377359,101.7,111.5,0.7468000000000001,0.4389,0.3319,1468.9562470668936,14.631749521953765,98.9,115.8,102.52830188679245,103,96
27,22018,2019-02-12,BOS,PHI,116.9,109.1,0.8892,0.4891,0.384,1615.3777065041525,19.061093768200998,107.3,109.2,112.92857142857143,117.7,112.9,0.8097999999999999,0.476,0.3753,1479.1691108467096,26.275699822483695,123.3,112.4,115.85714285714286,112,109
28,22018,2019-02-13,BOS,DET,117.4,110.1,0.8802,0.48630000000000007,0.3888,1618.5379995427575,19.756067202980248,119.2,112.0,112.91228070175438,106.0,102.6,0.7746999999999999,0.4516,0.36100000000000004,1494.574565895755,15.116953755037905,99.5,103.7,106.49090909090908,118,110
