,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,PER_A,WINNER
14626,BOS,1610612738,2015-02-23,115,110,0.438,0.483,0.767,42,15,1,0.37735849056603776,0.4,1405.588407512985,1525.634639106603,14.928394629053157,1
14627,PHX,1610612756,2015-02-23,110,115,0.454,0.281,0.813,50,17,7,0.5178571428571429,0.6,1525.634639106603,1405.588407512985,14.39648102009972,0
14628,LAC,1610612746,2015-02-23,87,90,0.443,0.333,0.667,40,14,10,0.6607142857142857,0.8,1640.5473837068175,1647.4024923225156,17.208363862218075,0
14629,MEM,1610612763,2015-02-23,90,87,0.407,0.333,0.731,42,10,4,0.7407407407407407,0.6,1647.4024923225156,1640.5473837068175,15.119415462504467,1
14630,MIN,1610612750,2015-02-23,102,113,0.333,0.278,0.897,58,20,3,0.2222222222222222,0.3,1356.431794644302,1603.6914837750749,12.980118293177219,0
14631,HOU,1610612745,2015-02-23,113,102,0.415,0.316,0.676,56,16,8,0.6727272727272727,0.8,1603.6914837750749,1356.431794644302,16.4610823592109,1
14632,PHI,1610612755,2015-02-23,108,119,0.476,0.419,0.536,33,12,8,0.21818181818181817,0.1,1305.3128653523804,1437.4889612395737,12.453729543448716,0
14633,MIA,1610612748,2015-02-23,119,108,0.554,0.524,0.727,45,17,3,0.42592592592592593,0.4,1437.4889612395737,1305.3128653523804,14.761030387964253,1
14634,UTA,1610612762,2015-02-23,90,81,0.41,0.267,0.783,49,13,5,0.37037037037037035,0.5,1482.5631874715032,1606.4675822857373,15.209843427853762,1
14635,SAS,1610612759,2015-02-23,81,90,0.405,0.263,0.571,44,22,7,0.6181818181818182,0.5,1606.4675822857373,1482.5631874715032,17.224896672534516,0
14636,BKN,1610612751,2015-02-23,110,82,0.467,0.19,0.87,57,10,9,0.41509433962264153,0.4,1430.367092055889,1406.3590754803545,16.215940118961107,1
14637,DEN,1610612743,2015-02-23,82,110,0.33,0.259,0.591,49,15,3,0.36363636363636365,0.3,1406.3590754803545,1430.367092055889,13.57804623469883,0
14638,NOP,1610612740,2015-02-23,100,97,0.513,0.455,0.625,48,17,7,0.509090909090909,0.5,1483.6411715475444,1596.4717658465484,13.841742392550763,1
14639,TOR,1610612761,2015-02-23,97,100,0.417,0.217,0.71,40,8,2,0.6727272727272727,0.6,1596.4717658465484,1483.6411715475444,14.988476307555139,0
14640,CLE,1610612739,2015-02-24,102,93,0.442,0.378,0.833,40,15,5,0.6140350877192983,0.6,1597.1303169767214,1486.2497137021326,18.907073698736653,1
14641,DET,1610612765,2015-02-24,93,102,0.402,0.375,0.6,46,15,3,0.4107142857142857,0.7,1486.2497137021326,1597.1303169767214,14.087086540015497,0
14642,TOR,1610612761,2015-02-24,92,99,0.452,0.346,0.636,37,19,4,0.6607142857142857,0.6,1588.3980560609762,1603.2407649320926,16.722114746918088,0
14643,DAL,1610612742,2015-02-24,99,92,0.481,0.421,0.833,40,20,4,0.6551724137931034,0.6,1603.2407649320926,1588.3980560609762,15.731714064434302,1
14644,OKC,1610612760,2015-02-24,105,92,0.417,0.375,0.889,57,10,8,0.5535714285714286,0.9,1618.440433872608,1489.0688654508901,19.050746741243987,1
14645,IND,1610612754,2015-02-24,92,105,0.432,0.346,0.636,48,14,3,0.4107142857142857,0.4,1489.0688654508901,1618.440433872608,18.336991931496033,0
14646,GSW,1610612744,2015-02-24,114,107,0.5,0.522,0.706,29,9,1,0.8113207547169812,0.6,1710.1144134613237,1502.308757858792,18.366035457847353,1
14647,WAS,1610612764,2015-02-24,107,114,0.532,0.278,0.857,45,26,4,0.5892857142857143,0.5,1502.308757858792,1710.1144134613237,12.080191213699043,0
14648,CHA,1610612766,2015-02-25,98,86,0.464,0.286,0.762,45,9,3,0.4074074074074074,0.6,1444.2188885812673,1589.6308557838174,14.132420677503717,1
14649,CHI,1610612741,2015-02-25,86,98,0.442,0.176,0.652,43,12,11,0.631578947368421,0.6,1589.6308557838174,1444.2188885812673,15.239270177501785,0
14650,BOS,1610612738,2015-02-25,115,94,0.506,0.452,0.85,46,14,1,0.3888888888888889,0.4,1415.9611544221866,1306.9521487455454,14.160467046176723,1
14651,NYK,1610612752,2015-02-25,94,115,0.415,0.095,0.774,41,13,4,0.18181818181818182,0.1,1306.9521487455454,1415.9611544221866,10.764418272514245,0
14652,ORL,1610612753,2015-02-25,90,93,0.423,0.273,0.581,50,19,1,0.3275862068965517,0.4,1347.578037769393,1443.8316019421713,14.986586963163775,0
14653,MIA,1610612748,2015-02-25,93,90,0.381,0.194,0.719,42,14,5,0.43636363636363634,0.4,1443.8316019421713,1347.578037769393,18.078023517405803,1
14654,LAC,1610612746,2015-02-25,105,110,0.44,0.344,0.737,49,16,4,0.6491228070175439,0.5,1635.0969492643069,1607.2608846089972,16.997986026763186,0
14655,HOU,1610612745,2015-02-25,110,105,0.409,0.386,0.7,46,10,9,0.6785714285714286,0.8,1607.2608846089972,1635.0969492643069,16.123943480826384,1
14656,POR,1610612757,2015-02-25,111,95,0.506,0.5,0.8,45,14,4,0.6545454545454545,0.7,1590.1467807698923,1591.964908083551,15.081532604360028,1
14657,SAS,1610612759,2015-02-25,95,111,0.435,0.381,0.929,37,13,5,0.6071428571428571,0.4,1591.964908083551,1590.1467807698923,16.753026010792407,0
14658,MIL,1610612749,2015-02-25,104,88,0.537,0.333,0.688,43,24,5,0.5535714285714286,0.7,1525.3111656713631,1298.9702246497827,13.459684799708906,1
14659,PHI,1610612755,2015-02-25,88,104,0.413,0.44,0.789,38,28,3,0.21428571428571427,0.0,1298.9702246497827,1525.3111656713631,13.694163562285059,0
14660,LAL,1610612747,2015-02-25,100,97,0.449,0.182,0.857,42,10,8,0.2545454545454545,0.0,1337.3484541595913,1497.0658616736894,16.16745126182796,1
14661,UTA,1610612762,2015-02-25,97,100,0.466,0.583,0.647,47,21,5,0.38181818181818183,0.6,1497.0658616736894,1337.3484541595913,15.62566457157001,0
14662,DAL,1610612742,2015-02-25,87,104,0.425,0.161,0.778,44,16,3,0.6610169491525424,0.5,1611.1998409938758,1659.9436674055971,15.947649425922114,0
14663,ATL,1610612737,2015-02-25,104,87,0.459,0.371,0.813,41,11,2,0.7857142857142857,0.9,1659.9436674055971,1611.1998409938758,16.348716879436974,1
14664,SAC,1610612758,2015-02-25,102,90,0.488,0.375,0.72,47,21,6,0.35185185185185186,0.3,1387.6520551673937,1652.8529267650263,11.705405613232752,1
14665,MEM,1610612763,2015-02-25,90,102,0.405,0.25,0.783,38,17,5,0.7454545454545455,0.7,1652.8529267650263,1387.6520551673937,15.150240520798228,0
14666,DEN,1610612743,2015-02-25,96,110,0.383,0.353,0.667,40,16,5,0.35714285714285715,0.3,1387.360550173935,1515.2618921974013,10.840506284330095,0
14667,PHX,1610612756,2015-02-25,110,96,0.429,0.333,0.75,65,21,7,0.5087719298245614,0.2,1515.2618921974013,1387.360550173935,14.179704073251392,1
14668,WAS,1610612764,2015-02-25,77,97,0.379,0.222,0.875,43,19,3,0.5789473684210527,0.4,1498.9595441606048,1352.8623938103797,14.2730336752102,0
14669,MIN,1610612750,2015-02-25,97,77,0.432,0.308,0.821,53,18,4,0.21818181818181817,0.4,1352.8623938103797,1498.9595441606048,17.411495575033356,1
14670,NOP,1610612740,2015-02-25,102,96,0.514,0.44,0.789,43,20,6,0.5178571428571429,0.5,1491.7148813331166,1449.3656173623085,14.874256194863982,1
14671,BKN,1610612751,2015-02-25,96,102,0.424,0.333,0.733,37,12,6,0.42592592592592593,0.4,1449.3656173623085,1491.7148813331166,16.48107400437158,0
14672,OKC,1610612760,2015-02-26,113,117,0.386,0.333,0.9,50,10,4,0.5614035087719298,0.6,1625.5905315580005,1522.8185022175094,17.89932069813066,0
14673,PHX,1610612756,2015-02-26,117,113,0.495,0.346,0.571,52,16,9,0.5172413793103449,0.5,1522.8185022175094,1625.5905315580005,15.020354507959448,1
14674,CLE,1610612739,2015-02-26,110,99,0.468,0.321,0.829,51,16,2,0.6206896551724138,1.0,1603.3107937930702,1713.463627159511,19.22688003163376,1
14675,GSW,1610612744,2015-02-26,99,110,0.424,0.379,0.526,44,14,6,0.8148148148148148,0.6,1713.463627159511,1603.3107937930702,19.55142692184676,0
14676,PHI,1610612755,2015-02-27,89,81,0.35,0.364,0.618,53,15,4,0.21052631578947367,0.5,1293.8834143223085,1473.0412617173133,13.321292546663143,1
14677,WAS,1610612764,2015-02-27,81,89,0.323,0.235,0.773,51,13,5,0.5689655172413793,0.3,1473.0412617173133,1293.8834143223085,12.811637678622994,0
14678,MIL,1610612749,2015-02-27,93,101,0.391,0.235,0.724,49,11,6,0.5614035087719298,0.6,1530.3979759988374,1346.5131682024376,16.077192039506663,0
14679,LAL,1610612747,2015-02-27,101,93,0.471,0.333,0.682,50,12,5,0.26785714285714285,0.3,1346.5131682024376,1530.3979759988374,14.095702735276621,1
14680,MIN,1610612750,2015-02-27,89,96,0.429,0.143,0.677,45,13,2,0.23214285714285715,0.3,1378.7806762536711,1571.252332571089,14.116026660130174,0
14681,CHI,1610612741,2015-02-27,96,89,0.385,0.29,0.813,53,10,5,0.6206896551724138,0.5,1571.252332571089,1378.7806762536711,11.071024225304543,1
14682,CHA,1610612766,2015-02-27,98,106,0.451,0.476,0.824,48,16,7,0.41818181818181815,0.6,1462.5974117939954,1426.8129031343174,15.31305260682644,0
14683,BOS,1610612738,2015-02-27,106,98,0.417,0.4,0.8,47,8,5,0.4,0.5,1426.8129031343174,1462.5974117939954,16.45430452491109,1
14684,HOU,1610612745,2015-02-27,102,98,0.464,0.281,0.882,41,14,5,0.6842105263157895,0.8,1615.0339796436278,1442.7934594631172,16.756296200749517,1
14685,BKN,1610612751,2015-02-27,98,102,0.447,0.235,0.9,44,17,4,0.41818181818181815,0.3,1442.7934594631172,1615.0339796436278,14.477471176068503,0
14686,NYK,1610612752,2015-02-27,121,115,0.413,0.333,0.962,58,11,9,0.17857142857142858,0.1,1296.1004000334146,1480.0692368857838,10.834815132464163,1
14687,DET,1610612765,2015-02-27,115,121,0.402,0.258,0.725,54,15,10,0.40350877192982454,0.6,1480.0692368857838,1296.1004000334146,17.589182085320672,0
14688,OKC,1610612760,2015-02-27,112,115,0.479,0.286,0.818,47,13,4,0.5517241379310345,0.5,1616.718702061787,1604.29951893793,16.08588232346829,0
14689,POR,1610612757,2015-02-27,115,112,0.438,0.385,0.871,43,9,4,0.6607142857142857,0.7,1604.29951893793,1616.718702061787,15.773426174476315,1
14690,CLE,1610612739,2015-02-27,86,93,0.359,0.31,0.786,49,15,7,0.6271186440677966,0.7,1619.0914333981784,1481.9187677654977,14.169985973842385,0
14691,IND,1610612754,2015-02-27,93,86,0.425,0.353,0.655,48,8,7,0.40350877192982454,0.5,1481.9187677654977,1619.0914333981784,19.124631119897693,1
14692,ORL,1610612753,2015-02-27,88,95,0.45,0.346,0.538,40,19,7,0.3220338983050847,0.1,1343.7895267812544,1672.0764191764783,13.611498098665525,0
14693,ATL,1610612737,2015-02-27,95,88,0.444,0.452,0.75,42,18,5,0.7894736842105263,0.9,1672.0764191764783,1343.7895267812544,16.304718271662725,1
14694,SAC,1610612758,2015-02-27,96,107,0.481,0.25,0.826,47,17,2,0.36363636363636365,0.4,1411.9191353441186,1577.8121699155133,11.331058899495348,0
14695,SAS,1610612759,2015-02-27,107,96,0.398,0.348,0.906,42,6,7,0.5964912280701754,0.4,1577.8121699155133,1411.9191353441186,17.4089366988792,1
14696,UTA,1610612762,2015-02-27,104,82,0.574,0.429,0.81,43,23,15,0.375,0.3,1487.901147630843,1379.803940153827,15.913816835254806,1
14697,DEN,1610612743,2015-02-27,82,104,0.333,0.25,0.621,36,15,3,0.3508771929824561,0.2,1379.803940153827,1487.901147630843,15.757334692762342,0
14698,GSW,1610612744,2015-02-27,113,89,0.483,0.464,0.842,47,13,5,0.8,0.6,1697.6829875544026,1580.438979999193,19.309577220636555,1
14699,TOR,1610612761,2015-02-27,89,113,0.403,0.182,0.821,42,19,3,0.6491228070175439,0.6,1580.438979999193,1697.6829875544026,13.990341980784223,0
